PMID,COMPLICATION
31937457,Infection
30845210,Infection
32028425,Infection
30845210,Infection
23295565,Infection
30180989,Infection
26202391,Infection
32028425,Infection
30845210,Infection
24440542,Infection
23295565,Infection
23838218,Infection
30180989,Infection
31937457,Infection
32028425,Infection
33298237,Infection
31900609,Infection
32569313,Infection
29516966,Infection
31937457,Infection
24440542,Infection
23295565,Infection
33298237,Infection
34108612,Infection
30180989,Infection
26202391,Infection
26202391,Infection
30180989,Infection
23838218,Infection
28540264,Infection
30845210,Infection
24440542,Infection
28540264,Infection
26045668,Infection
25987475,Infection
29516966,Infection
26045668,Infection
26045668,Infection
26045668,Infection
23838218,Infection
23633980,Thrombosis
31764785,Thrombosis
23633980,Thrombosis
25726426,Thrombosis
23633980,Thrombosis
28936124,Thrombosis
33893843,Thrombosis
32205131,Thrombosis
26207019,Thrombosis
33249623,Thrombosis
23710585,Thrombosis
28740162,Thrombosis
33249623,Thrombosis
29872323,Thrombosis
29408616,Thrombosis
25726426,Thrombosis
30632436,Thrombosis
28796444,Thrombosis
28740162,Thrombosis
32205131,Thrombosis
24781722,Thrombosis
32551112,Thrombosis
32880203,Thrombosis
34103988,Thrombosis
29125332,Thrombosis
25673995,Thrombosis
24983259,Thrombosis
24781722,Thrombosis
30697126,Thrombosis
24612469,Thrombosis
28796444,Thrombosis
29408616,Thrombosis
29125332,Thrombosis
26349890,Thrombosis
29872323,Thrombosis
26207019,Thrombosis
29872323,Thrombosis
27078849,Thrombosis
33244268,Thrombosis
24983259,Thrombosis
32205131,Thrombosis
23710585,Thrombosis
34103988,Thrombosis
33244268,Thrombosis
32205131,Thrombosis
25673995,Thrombosis
23710585,Thrombosis
28936124,Thrombosis
32880203,Thrombosis
29408616,Thrombosis
25726426,Thrombosis
26349890,Thrombosis
25376324,Thrombosis
25593110,Thrombosis
34226216,Thrombosis
34103988,Thrombosis
30632436,Thrombosis
24612469,Thrombosis
25726426,Thrombosis
29125332,Thrombosis
33249623,Thrombosis
32551112,Thrombosis
33244268,Thrombosis
30632436,Thrombosis
28796444,Thrombosis
27161689,Thrombosis
29408616,Thrombosis
32551112,Thrombosis
32195936,Thrombosis
29408616,Thrombosis
33893843,Thrombosis
29408616,Thrombosis
33889013,Thrombosis
25726426,Thrombosis
23838218,Thrombosis
29408616,Thrombosis
28740162,Thrombosis
29872323,Thrombosis
32195936,Thrombosis
25726426,Thrombosis
23633980,Thrombosis
33298237,Thrombosis
24781722,Thrombosis
28796444,Thrombosis
29408616,Thrombosis
23838218,
30909723,
29408616,
24612469,
27818170,
23354238,
27161689,
30632436,
28796444,
27033138,
23838218,
23838218,
30384035,
22948189,
23697825,
28822403,
24811591,
24090605,
34488396,
27542955,
24612469,
33249623,
26207019,
28740162,
28936124,
33893843,
25680892,
23710585,
25673995,
34095299,
23710585,
25680892,
35943390,
25910751,
30594171,
23697825,
35279504,
34613657,
25680892,
27078849,
27371372,
28218366,
24983259,
35287828,
32572092,
25673995,
25680892,
24781722,
33249623,
34095299,
33388763,
32205131,
25680892,
26217634,
24781722,
33388763,
34373674,
30632436,
25680892,
28796444,
25726426,
34226216,
25295962,
24612469,
30632436,
23354238,
34454607,
26349890,
32880203,
32572092,
29408616,
32375605,
33617142,
26217634,
27957644,
29615373,
24983259,
25664112,
29659465,
24246096,
25664112,
32572092,
28740162,
23710585,
25673995,
25997503,
28740162,
28936124,
24781722,
33893843,
34432170,
34981151,
34095299,
33388763,
34373674,
25726426,
25997503,
27500259,
24246096,
23633980,
33383236,
33594508,
35701467,
35701467,
34432170,
23633980,
32195936,
33617142,
32880203,
23633980,
25680892,
33388763,
34981151,
