FACTOR,PMID_LIST
Number of lumens,23838218;30909723;29408616;24612469;27818170;23354238;27161689;30632436;28796444;27033138
Power injectable PICC,23838218
Immunosuppression,23838218
Intensive care unit,30384035;22948189;23697825;28822403;24811591
Chemotherapy,24090605;34488396;27542955;24612469;33249623;26207019;28740162;28936124;22444157;33893843;25680892;23710585;25673995
Diabetes,34095299;23710585;25680892;22444157
Cancer/ Hematologic malignacy,27371372;35943390;30594171;25910751;23697825;35279504;34613657;25680892;2707884
Gender,28936124
Smoking/History of smoking,33249623
Age,34095299;33388763;32205131;25680892;26217634;24781722 
Thrombosis/ History of thrombosis,33388763;34373674;30632436;25680892;28796444;25726426
Large catheter/catheter to vein ratio,34226216;25295962;24612469;30632436
PICC insertion procedure/ position,23354238;34454607;26349890;32880203;32572092;29408616;32375605;33617142;26217634;27957644
PICC indwelling time,29615373
Number of comorbidities/HTA/Hyperglycemia,24983259;25664112;29659465
Performans score/ Less activity/ bedridden > 72h,24246096;25664112;32572092;28740162;23710585;25673995
Total parenteral nutrition,25997503
Biology,28740162;28936124;24781722;33893843
Upper extremity damages,34432170;34981151
Surgery/ type of surgery,34095299;33388763;34373674;25726426
Transplantation,25997503;27500259
High intrathoracic pressure,24246096
PICC infection,23633980
Score,33383236;33594508;35701467;35701467
Menopause/ endocrine therapy,34432170
Erythropoiesis-stimulating agents,23633980
Slower blood flow velocity,32195936;33617142
Non-O blood type,32880203
Anticoagulations therapy,23633980
Thrombophilia,25680892
Others,33388763;34981151
