COMPLICATION,FACTOR,PMID_LIST
Thrombosis,Anticoagulants therapy,23633980
Thrombosis,Prophylactic anticoagulation,31764785;18596317
Thrombosis,Antiplatelet agent,23633980;25726426
Thrombosis,Erythropoiesis-stimulating agents,23633980
Thrombosis,PICC infection,23633980
Thrombosis,Chemotherapy,28936124;33893843;32205131;26207019;33249623
Thrombosis,Chemotherapy history,23710585;28740162 
Thrombosis,Smoking/history of smoking,33249623
Thrombosis,History of thrombosis,19753569;29872323;29408616;25726426;20923799 
30632436 - 28796444 - 11941543 – 22113818'
Thrombosis,Blood platelet levels,28740162
Thrombosis,Age,32205131;24781722;11941543
Thrombosis,Sex,21541826;32551112
Thrombosis,Blood group (non-o blood type/ blood group B),32880203;34103988;29125332
Thrombosis,High BMI,25673995;24983259;24781722;30697126;29872323
Thrombosis,Recent/active neoplasia,24612469;28796444;29408616;29125332
Thrombosis,Advanced cancer,26349890;29872323;22444157;26207019
Thrombosis,Lymphoma,27078849
Thrombosis,Solid neoplasia type,33244268
Thrombosis,Arm / laterality / characteristic,22266584;22113818
Thrombosis,Hypertension,24983259;32205131
Thrombosis,Diabetes,23710585;22444157 
Thrombosis,Triglycerides level,34103988;33244268
Thrombosis,Renal failure,22266584
Thrombosis,Other comorbidities (COPD),22444157
Thrombosis,Less activity,25673995;23710585
Thrombosis,Blood vessel irritating drug,11941543;22266584;22113818
Thrombosis,Blood vessel traumatism,28936124;32880203
Thrombosis,Operator (experience/type),29408616;25726426 
Thrombosis,PICC insertion procedure,19753569;26349890;25376324
Thrombosis,Large-gauge catheters/catheter to vein ratio,25593110;34226216;34103988;30632436;24612469;25726426;10928518;29125332;33249623;32551112;20923799;33244268
Thrombosis,Two or more lumens,30632436;28796444;27161689;29408616;32551112
Thrombosis,Slower blood flow velocity,32195936
Thrombosis,PICC exchange,29408616
Thrombosis,Higher fibrinogen levels,33893843
Thrombosis,Vein choice,29408616;33889013;25726426;22266584 
Thrombosis,Powerinjectable PICC/antimicrobial coated PICC,23838218;29408616
Thrombosis,'Performance score (karnofsky, ECOG)',28740162;29872323;32195936
Thrombosis,PICC in situ during surgery ,25726426;22113818;20923799
Thrombosis,Recent trauma,22266584
Thrombosis,Hospitalisation/ Medical department admission/ discharged to a skilled-nursing facility,23633980;33298237;11941543 
