PMID,FACTOR,RISK,TEXT
24440542,Two or more lumens,Yes,". catheter lumens were strongly associated with this event (double lumen, or 5.21; 95% ci, 2.46-11.04, and triple lumen, or 10.84; 95% ci, 4.38-26.82). on multivariable analysis, only hospital length of stay, icu status, and number of picc lumens remained significantly associated with picc bloodstream infection. notably, the hr for picc lumens increased substantially, suggesting earlier time to infection among patients with multi-lumen piccs (hr 4.08; 95% ci, 1.51-11.02 and hr 8.52; 95% ci, 2.55-28.49 for double- and triple-lumen devices, respectively). conclusions: picc-associated bloodstream infection is most associated with hospital length of stay, icu status, and number of device lumens.. catheter lumens were strongly associated with this event (double lumen, or 5.21; 95% ci, 2.46-11.04, and triple lumen, or 10.84; 95% ci, 4.38-26.82).. notably, the hr for picc lumens increased substantially, suggesting earlier time to infection among patients with multi-lumen piccs (hr 4.08; 95% ci, 1.51-11.02 and hr 8.52; 95% ci, 2.55-28.49 for double- and triple-lumen devices, respectively).."
24440542,Medical department admission (including ICU),Yes,". on multivariable analysis, only hospital length of stay, icu status, and number of picc lumens remained significantly associated with picc bloodstream infection. conclusions: picc-associated bloodstream infection is most associated with hospital length of stay, icu status, and number of device lumens.."
24440542,Hospital length of stay,Yes,"on multivariable analysis, only hospital length of stay, icu status, and number of picc lumens remained significantly associated with picc bloodstream infection. conclusions: picc-associated bloodstream infection is most associated with hospital length of stay, icu status, and number of device lumens.. ."
34600737,Hospital length of stay,No,". adjusted means los were higher for patients with picc lines compared to midlines, in both females and males.."
34218708,Antibiotic therapy,No,". more than 1 million peripherally inserted central catheters (picc) are placed annually in the us and are used to provide convenient vascular access for a variety of reasons including long term antibiotic treatment, chemotherapy, parenteral nutrition, and blood draws.."
34218708,Parenteral nutrition,Yes,"more than 1 million peripherally inserted central catheters (picc) are placed annually in the us and are used to provide convenient vascular access for a variety of reasons including long term antibiotic treatment, chemotherapy, parenteral nutrition, and blood draws.."
24811591,Medical department admission (including ICU),No,". however, piccs are associated with a number of complications, particularly upper extremity venous thrombosis (uevt), leading to post-thrombotic syndrome, pulmonary embolism and increased risk of catheter-related infection. there is lack of high-quality evidence assessing prevention strategies and management of picc-related thrombosis in the icu.."
30190250,Medical department admission (including ICU),No,". results: 144 piccs were inserted, of which 94 corresponded to the icu group (65.28%) and 50 (34.72%) to the non-icu group. the total number of confirmed infections was 6.25% (5.5 per 1000 days of picc), 1.39% (1.2 per 1000 days) being in the icu group and 4.86% (4.2 per 1000 days) in the non-icu group. there were 5 bacteraemias, all in the non-icu group (3 per 1000 days).."
34593288,Antibiotic therapy,No,". background: people who use drugs (pwud), and especially those who inject drugs, are at increased risk of acquiring bloodborne infections (e.g., hiv and hcv), experiencing drug-related harms (e.g., abscesses and overdose), and being hospitalized and requiring inpatient parenteral antibiotic therapy delivered through a peripherally inserted central catheter (picc). results: the decision to provide, maintain, or remove a picc is based on a complex assemblage of factors (e.g., infections, bodies, drugs, memories, relations, spaces, temporalities, and contingencies) beyond whether parenteral intravenous antibiotic therapy is clinically indicated.."
31937457,Advanced Age,Yes,"multivariable analysis identified the significant risk factors for picc-associated bsi as a prior picc placement (odds ratio [or], 2.48; 95% confidence interval [ci], 1.36-4.53), medical department admission (or, 1.89; 95% ci, 1.03-3.46), and older age (or, 1.03; 95% ci, 1.00-1.05).. ."
