PMID,FACTOR,TEXT
24440542,Two or more lumens,"picc-associated bloodstream infections: prevalence, patterns, and predictors. . background: growing use of peripherally inserted central catheters (piccs) has led to recognition of the risk of picc-associated bloodstream infection. we sought to identify rates, patterns, and patient, provider, and device characteristics associated with this adverse outcome. methods: a retrospective cohort of consecutive adults who underwent picc placement from june 2009 to july 2012 was assembled. using multivariable logistic and cox-proportional hazards regression models, covariates specified a priori were analyzed for their association with picc-associated bloodstream infection. odds ratios (or) and hazard ratios (hr) with corresponding 95% confidence intervals (ci) were used to express the association between each predictor and the outcome of interest. results: during the study period, 966 piccs were inserted in 747 unique patients for a total of 26,887 catheter days. indications for picc insertion included: long-term antibiotic administration (52%, n = 503), venous access (21%, n = 201), total parenteral nutrition (16%, n = 155), and chemotherapy (11%, n = 107). on bivariate analysis, intensive care unit (icu) status (or 3.23; 95% ci, 1.84-5.65), mechanical ventilation (or 4.39; 95% ci, 2.46-7.82), length of stay (hospital, or 1.04; 95% ci, 1.02-1.06 and icu, or 1.03; 95% ci, 1.02-1.04), powerpiccs (c. r. bard, inc., murray hill, nj; or 2.58; 95% ci, 1.41-4.73), and devices placed by interventional radiology (or 2.57; 95% ci, 1.41-4.68) were associated with picc-bloodstream infection. catheter lumens were strongly associated with this event (double lumen, or 5.21; 95% ci, 2.46-11.04, and triple lumen, or 10.84; 95% ci, 4.38-26.82). on multivariable analysis, only hospital length of stay, icu status, and number of picc lumens remained significantly associated with picc bloodstream infection. notably, the hr for picc lumens increased substantially, suggesting earlier time to infection among patients with multi-lumen piccs (hr 4.08; 95% ci, 1.51-11.02 and hr 8.52; 95% ci, 2.55-28.49 for double- and triple-lumen devices, respectively). conclusions: picc-associated bloodstream infection is most associated with hospital length of stay, icu status, and number of device lumens. policy and procedural oversights targeting these factors may be necessary to reduce the risk of this adverse outcome. "
24440542,Medical department admission (including ICU),"picc-associated bloodstream infections: prevalence, patterns, and predictors. . background: growing use of peripherally inserted central catheters (piccs) has led to recognition of the risk of picc-associated bloodstream infection. we sought to identify rates, patterns, and patient, provider, and device characteristics associated with this adverse outcome. methods: a retrospective cohort of consecutive adults who underwent picc placement from june 2009 to july 2012 was assembled. using multivariable logistic and cox-proportional hazards regression models, covariates specified a priori were analyzed for their association with picc-associated bloodstream infection. odds ratios (or) and hazard ratios (hr) with corresponding 95% confidence intervals (ci) were used to express the association between each predictor and the outcome of interest. results: during the study period, 966 piccs were inserted in 747 unique patients for a total of 26,887 catheter days. indications for picc insertion included: long-term antibiotic administration (52%, n = 503), venous access (21%, n = 201), total parenteral nutrition (16%, n = 155), and chemotherapy (11%, n = 107). on bivariate analysis, intensive care unit (icu) status (or 3.23; 95% ci, 1.84-5.65), mechanical ventilation (or 4.39; 95% ci, 2.46-7.82), length of stay (hospital, or 1.04; 95% ci, 1.02-1.06 and icu, or 1.03; 95% ci, 1.02-1.04), powerpiccs (c. r. bard, inc., murray hill, nj; or 2.58; 95% ci, 1.41-4.73), and devices placed by interventional radiology (or 2.57; 95% ci, 1.41-4.68) were associated with picc-bloodstream infection. catheter lumens were strongly associated with this event (double lumen, or 5.21; 95% ci, 2.46-11.04, and triple lumen, or 10.84; 95% ci, 4.38-26.82). on multivariable analysis, only hospital length of stay, icu status, and number of picc lumens remained significantly associated with picc bloodstream infection. notably, the hr for picc lumens increased substantially, suggesting earlier time to infection among patients with multi-lumen piccs (hr 4.08; 95% ci, 1.51-11.02 and hr 8.52; 95% ci, 2.55-28.49 for double- and triple-lumen devices, respectively). conclusions: picc-associated bloodstream infection is most associated with hospital length of stay, icu status, and number of device lumens. policy and procedural oversights targeting these factors may be necessary to reduce the risk of this adverse outcome. "
24440542,Hospital length of stay,"picc-associated bloodstream infections: prevalence, patterns, and predictors. . background: growing use of peripherally inserted central catheters (piccs) has led to recognition of the risk of picc-associated bloodstream infection. we sought to identify rates, patterns, and patient, provider, and device characteristics associated with this adverse outcome. methods: a retrospective cohort of consecutive adults who underwent picc placement from june 2009 to july 2012 was assembled. using multivariable logistic and cox-proportional hazards regression models, covariates specified a priori were analyzed for their association with picc-associated bloodstream infection. odds ratios (or) and hazard ratios (hr) with corresponding 95% confidence intervals (ci) were used to express the association between each predictor and the outcome of interest. results: during the study period, 966 piccs were inserted in 747 unique patients for a total of 26,887 catheter days. indications for picc insertion included: long-term antibiotic administration (52%, n = 503), venous access (21%, n = 201), total parenteral nutrition (16%, n = 155), and chemotherapy (11%, n = 107). on bivariate analysis, intensive care unit (icu) status (or 3.23; 95% ci, 1.84-5.65), mechanical ventilation (or 4.39; 95% ci, 2.46-7.82), length of stay (hospital, or 1.04; 95% ci, 1.02-1.06 and icu, or 1.03; 95% ci, 1.02-1.04), powerpiccs (c. r. bard, inc., murray hill, nj; or 2.58; 95% ci, 1.41-4.73), and devices placed by interventional radiology (or 2.57; 95% ci, 1.41-4.68) were associated with picc-bloodstream infection. catheter lumens were strongly associated with this event (double lumen, or 5.21; 95% ci, 2.46-11.04, and triple lumen, or 10.84; 95% ci, 4.38-26.82). on multivariable analysis, only hospital length of stay, icu status, and number of picc lumens remained significantly associated with picc bloodstream infection. notably, the hr for picc lumens increased substantially, suggesting earlier time to infection among patients with multi-lumen piccs (hr 4.08; 95% ci, 1.51-11.02 and hr 8.52; 95% ci, 2.55-28.49 for double- and triple-lumen devices, respectively). conclusions: picc-associated bloodstream infection is most associated with hospital length of stay, icu status, and number of device lumens. policy and procedural oversights targeting these factors may be necessary to reduce the risk of this adverse outcome. "
34600737,Hospital length of stay,"picc versus midlines: comparison of peripherally inserted central catheters and midline catheters with respect to incidence of thromboembolic and infectious complications. . introduction: to decrease the complications related to central catheters there has been an increasing utilization of peripherally inserted central catheters (picc) and ultrasound-guided long peripheral intravenous catheters (i.e. midlines). while the complications of picc lines are well described there is less reported data on complications related to midline catheters. our study aims are to compare the incidences of infectious and deep venous thrombosis (dvt) and sepsis related to piccs and midlines. methods: we performed a single-center retrospective review at an academic hospital. data were collected on patients admitted between 1/1/2014-5/31/2016. patient demographics, hospital length of stay (los), and ventilator days were collected. outcomes of interest were line-related infections and thromboembolic events after the placement of these catheters. endpoints were compared between three groups (picc group, midline group and picc placement followed by midline placement group). univariate and multivariable analyses were used to compare across the three groups. results: the study included 3560 unique patients with 5058 catheters. there was an increase in use of midlines over the observed study period (245% increase from the end of 2015 to the middle of 2016). we found no significant differences in the rates of dvt among the three groups (picc 4%, midline 3% and picc-midline 4%; p = 0.12). there were no differences across the groups for sepsis (picc 29%, midline 27%, and picc-midline 32%; p = 0.14) or septic shock (picc 7%, midline 8%, and picc-midline 6%; p = 0.39). adjusted means los were higher for patients with picc lines compared to midlines, in both females and males. picc group stayed longer, on average, on the ventilator compared to the midline group. no other significant differences were seen among groups. conclusion: increased utilization of midline catheters were not associated with decreased risk of dvt or sepsis when compared to peripherally inserted central catheters. "
34218708,Antibiotic therapy,"picc line management among patients with chronic kidney disease. . more than 1 million peripherally inserted central catheters (picc) are placed annually in the us and are used to provide convenient vascular access for a variety of reasons including long term antibiotic treatment, chemotherapy, parenteral nutrition, and blood draws. although they are relatively easy to place and inexpensive, picc line use is associated with many complications such as phlebitis/thrombophlebitis, venous thrombosis, catheter-related infection, wound infection, and central vein stenosis. these complications are far more deleterious for patients with chronic kidney disease (ckd) whose lives depend on a functioning hemodialysis access once they reach end stage kidney disease (eskd). despite recent guidelines to avoid picc lines in ckd and eskd patients, clinical use remains high. there is an ongoing urgency to educate and inform health care providers and the ckd patients themselves in preserving their venous real estate. in this article, we review av access and picc line background, complications associated with picc lines in the ckd population, and recommendations for alternatives to placing a picc line in this vulnerable patient population. "
34218708,Parenteral nutrition,"picc line management among patients with chronic kidney disease. . more than 1 million peripherally inserted central catheters (picc) are placed annually in the us and are used to provide convenient vascular access for a variety of reasons including long term antibiotic treatment, chemotherapy, parenteral nutrition, and blood draws. although they are relatively easy to place and inexpensive, picc line use is associated with many complications such as phlebitis/thrombophlebitis, venous thrombosis, catheter-related infection, wound infection, and central vein stenosis. these complications are far more deleterious for patients with chronic kidney disease (ckd) whose lives depend on a functioning hemodialysis access once they reach end stage kidney disease (eskd). despite recent guidelines to avoid picc lines in ckd and eskd patients, clinical use remains high. there is an ongoing urgency to educate and inform health care providers and the ckd patients themselves in preserving their venous real estate. in this article, we review av access and picc line background, complications associated with picc lines in the ckd population, and recommendations for alternatives to placing a picc line in this vulnerable patient population. "
24811591,Medical department admission (including ICU),"peripherally inserted central catheter (picc)-related thrombosis in critically ill patients. . background: peripherally inserted central catheters (picc) are being increasingly used in critical care setting. however, piccs are associated with a number of complications, particularly upper extremity venous thrombosis (uevt), leading to post-thrombotic syndrome, pulmonary embolism and increased risk of catheter-related infection. objective: to review the literature surrounding piccs and highlight the epidemiology, pathophysiology, diagnosis and management of picc-related thrombosis in critically ill patients. data sources and extraction: we performed an electronic literature search of the databases pubmed, embase and google scholar using set search terms, from their commencement date to the end of january 2014. summary of review: it has been shown that piccs may double the risk of deep venous thrombosis compared with centrally inserted venous catheters, in critically ill patients. however, the incidence of picc-related thrombosis in critically ill patients has not been quantified. ultrasonography is the preferred diagnostic imaging modality. there are no randomized controlled trials (rcts) on the best treatment of picc-related thrombosis in the intensive care unit (icu) setting and in most cohort studies, anticoagulation strategies with or without picc removal have been used. conclusions: decision to insert a picc should be taken after careful risk stratification. there is lack of high-quality evidence assessing prevention strategies and management of picc-related thrombosis in the icu. well-designed rcts are required to estimate the prevalence of uevt in icu patients with piccs and evaluate the efficacy and magnitude of clinical benefit and cost-effectiveness of therapeutic strategies. "
30190250,Medical department admission (including ICU),"complications related to the insertion and maintenance of peripheral venous access central venous catheter. . objective: to evaluate the rates and nature of the complications related to the central peripheral access catheter (cvcap or picc) from its insertion to its withdrawal. methods: prospective observational study. all patients older than 14 years of age with a picc inserted in the polyvalent intensive care unit (icu) during the period between may 1, 2015 and april 30, 2016 were included. data collected included: demographic data, insertion details, reason for insertion and removal, maintenance unit, total dwell time, incidence of complications and related factors and infection rate. results: 144 piccs were inserted, of which 94 corresponded to the icu group (65.28%) and 50 (34.72%) to the non-icu group. the most important complication was the suspicion of infection: 17.36% (rate of 15.2 per 1000 days of picc). the total number of confirmed infections was 6.25% (5.5 per 1000 days of picc), 1.39% (1.2 per 1000 days) being in the icu group and 4.86% (4.2 per 1000 days) in the non-icu group. there were 5 bacteraemias, all in the non-icu group (3 per 1000 days). the most frequent germ was staphylococcus epidermidis (6 cases). phlebitis had an incidence of 9.03% (7.9 per 1000 days of picc). conclusions: picc, effective device for central venous access due to the minimal incidence of risks in implantation and to its advantages with regard to the classic central venous catheters, is a further nursing technique. "
34593288,Antibiotic therapy,"""with a picc line, you never miss"": the role of peripherally inserted central catheters in hospital care for people living with hiv/hcv who use drugs. . background: people who use drugs (pwud), and especially those who inject drugs, are at increased risk of acquiring bloodborne infections (e.g., hiv and hcv), experiencing drug-related harms (e.g., abscesses and overdose), and being hospitalized and requiring inpatient parenteral antibiotic therapy delivered through a peripherally inserted central catheter (picc). the use of picc lines with pwud is understood to be a source of tension in hospital settings but has not been well researched. drawing on theoretical and analytic insights from ""new materialism,"" we consider the assemblage of sociomaterial elements that inform the use of piccs. methods: this paper draws on n = 50 interviews conducted across two related qualitative research projects within a program of research about the impact of substance use on hospital admissions from the perspective of healthcare providers (hcps) and people living with hiv/hcv who use drugs. this paper focuses on data about picc lines collected in both studies. results: the decision to provide, maintain, or remove a picc is based on a complex assemblage of factors (e.g., infections, bodies, drugs, memories, relations, spaces, temporalities, and contingencies) beyond whether parenteral intravenous antibiotic therapy is clinically indicated. hcps expressed concerns about the risk posed by past, current, and future drug use, and contact with non-clinical spaces (e.g., patient's homes and the surrounding community), with some opting for second-line treatments and removing piccs. the majority of pwud described being subjected to threats of discharge and increased monitoring despite being too ill to use their picc lines during past hospital admissions. a subset of pwud reported using their picc lines to inject drugs as a harm reduction strategy, and a subset of hcps reported providing harm reduction-centred care. conclusion: our analysis has implications for theorizing the role of picc lines in the care of pwud and identifies practical guidance for engaging them in productive and non-judgemental discussions about the risks of injecting into a picc line, how to do it safely, and about medically supported alternatives. "
31937457,Advanced Age,"previous peripherally inserted central catheter (picc) placement as a risk factor for picc-associated bloodstream infections. . background: peripherally inserted central catheter (picc) -associated bloodstream infection (bsi) is a concern. methods: a case-control study was conducted to assess risk factors for picc-associated bsi. results: a total of 1,215 cases and 31,874 catheter days were analyzed. in total, 54 cases of picc-associated bsi were detected giving an infection rate of 1.69 per 1,000 catheter-days. the most frequently isolated pathogens were coagulase-negative staphylococci (26%), followed by enterococcus species (22%), candida species (17%), and staphylococcus aureus (11%). multivariable analysis identified the significant risk factors for picc-associated bsi as a prior picc placement (odds ratio [or], 2.48; 95% confidence interval [ci], 1.36-4.53), medical department admission (or, 1.89; 95% ci, 1.03-3.46), and older age (or, 1.03; 95% ci, 1.00-1.05). with increasing frequency of previous picc placement, the rates of picc-associated bsi increased: 3.5% (31/883) without previous placement, 7.6% (13/171) in once, and 9.9% (9/32) in twice or more. discussion: the previous picc placement was an independent risk factor for picc-associated bsi and the risk proportionally rose with the increasing frequency of prior picc placement. conclusions: patients with repeatedly inserted picc should be managed more carefully for prevention and should be monitored for the development of picc-associated bsi. "
