PMID,FACTOR,TEXT
24440542,Two or more lumens,"catheter lumens were strongly associated with this event (double lumen, or 5.21; 95% ci, 2.46-11.04, and triple lumen, or 10.84; 95% ci, 4.38-26.82). on multivariable analysis, only hospital length of stay, icu status, and number of picc lumens remained significantly associated with picc bloodstream infection. notably, the hr for picc lumens increased substantially, suggesting earlier time to infection among patients with multi-lumen piccs (hr 4.08; 95% ci, 1.51-11.02 and hr 8.52; 95% ci, 2.55-28.49 for double- and triple-lumen devices, respectively). conclusions: picc-associated bloodstream infection is most associated with hospital length of stay, icu status, and number of device lumens."
24440542,Medical department admission (including ICU),"on bivariate analysis, intensive care unit (icu) status (or 3.23; 95% ci, 1.84-5.65), mechanical ventilation (or 4.39; 95% ci, 2.46-7.82), length of stay (hospital, or 1.04; 95% ci, 1.02-1.06 and icu, or 1.03; 95% ci, 1.02-1.04), powerpiccs (c."
24440542,Hospital length of stay,"on multivariable analysis, only hospital length of stay, icu status, and number of picc lumens remained significantly associated with picc bloodstream infection. conclusions: picc-associated bloodstream infection is most associated with hospital length of stay, icu status, and number of device lumens. on bivariate analysis, intensive care unit (icu) status (or 3.23; 95% ci, 1.84-5.65), mechanical ventilation (or 4.39; 95% ci, 2.46-7.82), length of stay (hospital, or 1.04; 95% ci, 1.02-1.06 and icu, or 1.03; 95% ci, 1.02-1.04), powerpiccs (c."
34600737,Hospital length of stay,"patient demographics, hospital length of stay (los), and ventilator days were collected. adjusted means los were higher for patients with picc lines compared to midlines, in both females and males."
34218708,Antibiotic therapy,"more than 1 million peripherally inserted central catheters (picc) are placed annually in the us and are used to provide convenient vascular access for a variety of reasons including long term antibiotic treatment, chemotherapy, parenteral nutrition, and blood draws."
34218708,Parenteral nutrition,"more than 1 million peripherally inserted central catheters (picc) are placed annually in the us and are used to provide convenient vascular access for a variety of reasons including long term antibiotic treatment, chemotherapy, parenteral nutrition, and blood draws."
24811591,Medical department admission (including ICU),"there are no randomized controlled trials (rcts) on the best treatment of picc-related thrombosis in the intensive care unit (icu) setting and in most cohort studies, anticoagulation strategies with or without picc removal have been used."
30190250,Medical department admission (including ICU),"all patients older than 14 years of age with a picc inserted in the polyvalent intensive care unit (icu) during the period between may 1, 2015 and april 30, 2016 were included."
34593288,Antibiotic therapy,"background: people who use drugs (pwud), and especially those who inject drugs, are at increased risk of acquiring bloodborne infections (e.g., hiv and hcv), experiencing drug-related harms (e.g., abscesses and overdose), and being hospitalized and requiring inpatient parenteral antibiotic therapy delivered through a peripherally inserted central catheter (picc). results: the decision to provide, maintain, or remove a picc is based on a complex assemblage of factors (e.g., infections, bodies, drugs, memories, relations, spaces, temporalities, and contingencies) beyond whether parenteral intravenous antibiotic therapy is clinically indicated."
31937457,Advanced Age,"multivariable analysis identified the significant risk factors for picc-associated bsi as a prior picc placement (odds ratio [or], 2.48; 95% confidence interval [ci], 1.36-4.53), medical department admission (or, 1.89; 95% ci, 1.03-3.46), and older age (or, 1.03; 95% ci, 1.00-1.05)."
31937457,Previous PICC,"with increasing frequency of previous picc placement, the rates of picc-associated bsi increased: 3.5% (31/883) without previous placement, 7.6% (13/171) in once, and 9.9% (9/32) in twice or more. discussion: the previous picc placement was an independent risk factor for picc-associated bsi and the risk proportionally rose with the increasing frequency of prior picc placement. previous peripherally inserted central catheter (picc) placement as a risk factor for picc-associated bloodstream infections."
31937457,Medical department admission (including ICU),"multivariable analysis identified the significant risk factors for picc-associated bsi as a prior picc placement (odds ratio [or], 2.48; 95% confidence interval [ci], 1.36-4.53), medical department admission (or, 1.89; 95% ci, 1.03-3.46), and older age (or, 1.03; 95% ci, 1.00-1.05)."
36717942,PICC dwell time,"the most prevalent complication was pr-bsi (1.9 per 1000 catheter days; 8.1% of inserted piccs ). all clinical signs and a duration of picc maintenance ≥ 28 days, had a low ppvs (≤ 67.1%) but high npvs (≥ 92.5%) for pr-bsi."
34628865,Chemotherapy,"risk factors for peripherally inserted central catheter (picc)-associated infections in patients receiving chemotherapy and the preventive effect of a self-efficacy intervention program: a randomized controlled trial. in this study, we retrospectively analyzed picc-associated infections in chemotherapy patients treated at our hospital in recent years to identify risk factors for picc-associated infections and the preventive effect of a self-efficacy intervention program. methods: using a convenience sampling method, we selected 159 cancer patients who received chemotherapy through a picc at our hospital between july 2017 and december 2018, and the patients were randomly divided to an observation group (n=79) and a control group (n=80) using a random number table. results: among the 159 chemotherapy patients, 26 (16.35%) experienced picc-associated infections in this finished trial. conclusions: the self-efficacy intervention improves self-management and reduces complications in cancer patients receiving chemotherapy through a picc."
34628865,PICC dwell time,"univariate analysis showed that sex, puncture site, and steroid use were unrelated to picc-associated infections (p>0.05), whereas picc indwelling time, white blood cell (wbc) count, a history of diabetes, and immunity were significantly related to picc-associated infections (p<0.05). picc indwelling time, wbc count, a history of diabetes, and immunity are independent risk factors for picc-associated infections; thus, measures should be implemented to prevent infections."
29118410,Two or more lumens,"multivariate analyses demonstrated that power picc, high charison scores, diabetes mellitus, double lumens triple lumens were risk factors for picc-related infections among icu patients. power picc, high charison scores, diabetes mellitus, multi-lumens are risk factors for picc-related bloodstream infection in icu patients."
29118410,Antibiotic therapy,"the isolated fungi showed low resistance to the commonly used antifungal antibiotics. antibiotics sensitivity was performed with disk diffusion and minimum inhibitory concentration (mic) methods. drug sensitivity analyses indicated that gram-negative bacteria showed low resistance to carbapenems antibiotics, and cefperazone/sulbactam."
29118410,Medical department admission (including ICU),the microbiological characteristics and risk factors for picc-related bloodstream infections in intensive care unit. the study was aimed to investigate the pathogens distribution and risk factors for picc-related bloodstream infection in intensive care unit (icu) patients.
34723657,Antibiotic therapy,"bridging the gap: introduction of an antimicrobial peripherally inserted central catheter (picc) in response to high picc central line-associated bloodstream infection incidence. objective: to reduce the incidence of central line-associated bloodstream infection (clabsi) in peripherally inserted central catheters (picc) through the introduction of an antimicrobial (am) catheter as recommended in evidence-based guidelines and standards. conclusion: combined with continued compliance with basic prevention strategies (ie use of a central line insertion checklist/insertion bundle) and optimization of device selection and lumen justification, the introduction of an antimicrobial/antithrombogenic (am/at) picc was associated with a significant reduction in clabsi."
36438461,Hospital length of stay,"logistic regression analysis was utilized to evaluate the association of patient-related risk factors with picc utilization, complications, readmissions, and length of stay (los). the picc group demonstrated significantly longer los by 2 days (7.72 days versus 5.14 days). conclusion: while not required for the majority of hand, wrist, and forearm infections, picc placement is associated with increased medical complications, more frequent hospital readmissions, and longer los."
36597793,Previous PICC,"in the multivariate analysis, previous picc placement within 6 months was an independent risk factor for a picc-associated bloodstream infection (odds ratio, 2.835; 95% confidence interval, 1.143-7.034; p=0.025)."
36597793,Medical department admission (including ICU),purpose: this study aimed to evaluate the safety and efficacy of bedside peripherally inserted central catheter (picc) placement under ultrasonography (usg) guidance in the general ward by a surgical intensivist-led vascular access team versus that of picc placement in the intensive care unit (icu) or fluoroscopy unit.
25910751,Acute myeloid leukemia,"cox regression analyses of variables associated to crbsis and to crtcs showed that only the type of disease (acute leukemia compared to other diseases) was significantly associated to a higher incidence of crbsis, while no feature was predictive for a higher risk of crtcs."
34511570,Chemotherapy,"risk factors for complications associated with peripherally inserted central catheters during induction chemotherapy for acute myeloid leukemia. however, the risks of picc-related complications during chemotherapy for acute myeloid leukemia (aml) are not fully understood. conclusion low picc-related complication rates, possibly associated with high rates of catheter removal, were observed during intensive chemotherapy for aml."
34511570,Acute myeloid leukemia,"risk factors for complications associated with peripherally inserted central catheters during induction chemotherapy for acute myeloid leukemia. however, the risks of picc-related complications during chemotherapy for acute myeloid leukemia (aml) are not fully understood."
33633889,Immunosuppression,their use in patients suffering from a malignant disease is common but may pose a greater risk of complications due to the severe immunosuppression associated with treatment.
33409725,Chemotherapy,"eleven hindrances were summarized, including high costs, unavailability of local services, worries about affecting family members, a lack of health awareness, inconvenient transportations, fluke minds, physical discomfort, fears of leukemia and chemotherapy, short chemotherapy intervals, damage to appearance, and no insurance coverage of costs."
33409725,Acute myeloid leukemia,"hindrances of peripherally inserted central catheter care of leukemia patients: a qualitative study. however, clinical observations found that some discharged leukemia patients in mainland china had not complied with the requirement of regular care. our study aims to explore the facilitators and hindrances of regular cares of picc in leukemia patients with the colaizzi phenomenon analysis. by purposive sampling, 11 leukemia patients with picc were selected and interviewed in the department of hematology of a first-class hospital in wuhan (central china). eleven hindrances were summarized, including high costs, unavailability of local services, worries about affecting family members, a lack of health awareness, inconvenient transportations, fluke minds, physical discomfort, fears of leukemia and chemotherapy, short chemotherapy intervals, damage to appearance, and no insurance coverage of costs. conclusion: leukemia patients' compliance with picc care was hindered by several factors."
29516966,PICC dwell time,"factor analysis of variance showed that many factors were related to picc catheter-related infections, including experience of operator (χ(2) = 3.48, p < 0.05), catheter retention time (χ(2) = 7.478, p < 0.05), receiving chemotherapy or not (χ(2) = 2.43, p < 0.05), karnofsky performance scale scores (χ(2) = 2.19, p < 0.05) and the frequency of replacing pad pasting on the point of puncture (χ(2) = 2.23). logistic regression analysis showed that picc catheter retention time (odds ratio [or] = 4.21, p < 0.05) and operator experience (or = 2.80, p < 0.05) were independent factors affected picc catheter-related infections. conclusion: catheter-related infections were related to experience of picc operatorand length of catheter retention time."
29516966,Operator experience,"factor analysis of variance showed that many factors were related to picc catheter-related infections, including experience of operator (χ(2) = 3.48, p < 0.05), catheter retention time (χ(2) = 7.478, p < 0.05), receiving chemotherapy or not (χ(2) = 2.43, p < 0.05), karnofsky performance scale scores (χ(2) = 2.19, p < 0.05) and the frequency of replacing pad pasting on the point of puncture (χ(2) = 2.23). conclusion: catheter-related infections were related to experience of picc operatorand length of catheter retention time."
