PMID,YEAR,TITLE,ABSTRACT,LANGUAGE,TYPE,MH,OT
24440542,2014,"PICC-associated bloodstream infections: prevalence, patterns, and predictors. ","BACKGROUND: Growing use of peripherally inserted central catheters (PICCs) has led to recognition of the risk of PICC-associated bloodstream infection. We sought to identify rates, patterns, and patient, provider, and device characteristics associated with this adverse outcome. METHODS: A retrospective cohort of consecutive adults who underwent PICC placement from June 2009 to July 2012 was assembled. Using multivariable logistic and Cox-proportional hazards regression models, covariates specified a priori were analyzed for their association with PICC-associated bloodstream infection. Odds ratios (OR) and hazard ratios (HR) with corresponding 95% confidence intervals (CI) were used to express the association between each predictor and the outcome of interest. RESULTS: During the study period, 966 PICCs were inserted in 747 unique patients for a total of 26,887 catheter days. Indications for PICC insertion included: long-term antibiotic administration (52%, n = 503), venous access (21%, n = 201), total parenteral nutrition (16%, n = 155), and chemotherapy (11%, n = 107). On bivariate analysis, intensive care unit (ICU) status (OR 3.23; 95% CI, 1.84-5.65), mechanical ventilation (OR 4.39; 95% CI, 2.46-7.82), length of stay (hospital, OR 1.04; 95% CI, 1.02-1.06 and ICU, OR 1.03; 95% CI, 1.02-1.04), PowerPICCs (C. R. Bard, Inc., Murray Hill, NJ; OR 2.58; 95% CI, 1.41-4.73), and devices placed by interventional radiology (OR 2.57; 95% CI, 1.41-4.68) were associated with PICC-bloodstream infection. Catheter lumens were strongly associated with this event (double lumen, OR 5.21; 95% CI, 2.46-11.04, and triple lumen, OR 10.84; 95% CI, 4.38-26.82). On multivariable analysis, only hospital length of stay, ICU status, and number of PICC lumens remained significantly associated with PICC bloodstream infection. Notably, the HR for PICC lumens increased substantially, suggesting earlier time to infection among patients with multi-lumen PICCs (HR 4.08; 95% CI, 1.51-11.02 and HR 8.52; 95% CI, 2.55-28.49 for double- and triple-lumen devices, respectively). CONCLUSIONS: PICC-associated bloodstream infection is most associated with hospital length of stay, ICU status, and number of device lumens. Policy and procedural oversights targeting these factors may be necessary to reduce the risk of this adverse outcome. ",['eng'],"['Journal Article' ""Research Support, Non-U.S. Gov't""]","['Aged' 'Catheter-Related Infections/*diagnosis/*epidemiology'
 'Catheterization, Central Venous/*adverse effects/methods'
 'Catheterization, Peripheral' 'Female' 'Humans' 'Male' 'Prevalence'
 'Prognosis' 'Retrospective Studies']","['BSI' 'Bloodstream infection' 'CLABSI' 'Infection' 'PICC'
 'Peripherally inserted central catheter']"
34600737,2022,PICC versus midlines: Comparison of peripherally inserted central catheters and midline catheters with respect to incidence of thromboembolic and infectious complications. ,"INTRODUCTION: To decrease the complications related to central catheters there has been an increasing utilization of peripherally inserted central catheters (PICC) and ultrasound-guided long peripheral intravenous catheters (i.e. midlines). While the complications of PICC lines are well described there is less reported data on complications related to midline catheters. Our study aims are to compare the incidences of infectious and deep venous thrombosis (DVT) and sepsis related to PICCs and Midlines. METHODS: We performed a single-center retrospective review at an academic hospital. Data were collected on patients admitted between 1/1/2014-5/31/2016. Patient demographics, hospital length of stay (LOS), and ventilator days were collected. Outcomes of interest were line-related infections and thromboembolic events after the placement of these catheters. Endpoints were compared between three groups (PICC group, midline group and PICC placement followed by midline placement group). Univariate and multivariable analyses were used to compare across the three groups. RESULTS: The study included 3560 unique patients with 5058 catheters. There was an increase in use of midlines over the observed study period (245% increase from the end of 2015 to the middle of 2016). We found no significant differences in the rates of DVT among the three groups (PICC 4%, midline 3% and PICC-midline 4%; p = 0.12). There were no differences across the groups for sepsis (PICC 29%, midline 27%, and PICC-midline 32%; p = 0.14) or septic shock (PICC 7%, midline 8%, and PICC-midline 6%; p = 0.39). Adjusted means LOS were higher for patients with PICC lines compared to midlines, in both females and males. PICC group stayed longer, on average, on the ventilator compared to the midline group. No other significant differences were seen among groups. CONCLUSION: Increased utilization of midline catheters were not associated with decreased risk of DVT or sepsis when compared to peripherally inserted central catheters. ",['eng'],['Journal Article'],"['*Catheterization, Central Venous/adverse effects'
 '*Catheterization, Peripheral/adverse effects' 'Catheters'
 '*Central Venous Catheters/adverse effects' 'Female' 'Humans' 'Incidence'
 'Male' 'Retrospective Studies' 'Risk Factors'
 '*Sepsis/epidemiology/etiology']","['Indwelling catheter' 'Intravenous access' 'Intravenous midline'
 'PICC line' 'Sepsis' 'Thrombosis']"
34218708,2023,PICC line management among patients with chronic kidney disease. ,"More than 1 million peripherally inserted central catheters (PICC) are placed annually in the US and are used to provide convenient vascular access for a variety of reasons including long term antibiotic treatment, chemotherapy, parenteral nutrition, and blood draws. Although they are relatively easy to place and inexpensive, PICC line use is associated with many complications such as phlebitis/thrombophlebitis, venous thrombosis, catheter-related infection, wound infection, and central vein stenosis. These complications are far more deleterious for patients with chronic kidney disease (CKD) whose lives depend on a functioning hemodialysis access once they reach end stage kidney disease (ESKD). Despite recent guidelines to avoid PICC lines in CKD and ESKD patients, clinical use remains high. There is an ongoing urgency to educate and inform health care providers and the CKD patients themselves in preserving their venous real estate. In this article, we review AV access and PICC line background, complications associated with PICC lines in the CKD population, and recommendations for alternatives to placing a PICC line in this vulnerable patient population. ",['eng'],['Journal Article' 'Review'],"['Humans' '*Catheterization, Central Venous/adverse effects'
 '*Venous Thrombosis/etiology'
 '*Catheter-Related Infections/diagnosis/prevention & control'
 'Parenteral Nutrition/adverse effects'
 '*Catheterization, Peripheral/adverse effects'
 '*Renal Insufficiency, Chronic/complications/diagnosis/therapy'
 'Retrospective Studies'
 '*Kidney Failure, Chronic/diagnosis/therapy/complications'
 '*Central Venous Catheters/adverse effects']","['Chronic kidney disease' 'ESKD' 'PICC line' 'catheters' 'dialysis access'
 'peripherally inserted central catheters' 'vascular access']"
23472835,2013,Advantages and disadvantages of peripherally inserted central venous catheters (PICC) compared to other central venous lines: a systematic review of the literature. ,"BACKGROUND: The use of central venous lines carries a significant risk for serious complications and high economic costs. Lately, the peripherally inserted central venous catheter (PICC) has gained in popularity due to presumed advantages over other central venous lines. The aim of this systematic literature review was to identify scientific evidence justifying the use of PICC. MATERIAL AND METHODS: The literature review was performed according to the principles of Cochrane Collaboration. The electronic literature search included common databases up to March 2011. Only those studies rated as high or moderate quality were used for grading of evidence and conclusions. RESULTS: The search resulted in 827 abstracts, 48 articles were read in full text, and 11 met the inclusion criteria. None of the articles was classified as high quality and two had moderate quality. The results of these two studies indicate that PICC increases the risk for deep venous thrombosis (DVT), but decreases the risk for catheter occlusion. The quality of scientific evidence behind these conclusions, however, was limited. Due to the lack of studies with sufficiently high quality, questions such as early complications, patient satisfaction and costs could not be answered. DISCUSSION: We conclude that although PICCs are frequently used in oncology, scientific evidence supporting any advantage or disadvantage of PICC when comparing PICC with traditional central venous lines is limited, apart from a tendency towards increased risk for DVT and a decreased risk for catheter occlusion with PICC. ",['eng'],"['Journal Article' ""Research Support, Non-U.S. Gov't"" 'Review'
 'Systematic Review']","['Catheter Obstruction/etiology'
 'Catheterization, Central Venous/*adverse effects/economics'
 'Catheterization, Peripheral/*adverse effects/economics'
 'Central Venous Catheters' 'Cost-Benefit Analysis' 'Humans'
 'Risk Factors' 'Vascular Access Devices/adverse effects/economics'
 'Venous Thrombosis/etiology']",[]
37314592,2023,Clinical factors of PICC-RVT in cancer patients: a meta-analysis. ,"PURPOSE: There is a lack of studies that systematically evaluate the clinical factors of PICC-RVT such as treatment, tumor stage, metastasis, and chemotherapy drugs in cancer patients. This study, therefore, aims to evaluate the clinical factors of catheter-related venous thrombosis in cancer patients with indwelling PICC to provide a basis for the clinical prevention and reduction of thrombosis. METHODS: Relevant studies were retrieved from major databases (PubMed, Embase, Web of Science, China National Knowledge Infrastructure (CNKI), WanFang Data, and China Biology Medicine disc (CMB)) and searched from their earliest available dates until July 2022. If two or more studies had the same outcome, a meta-analysis using RevMan 5.4.1 was performed. This systematic review was registered at PROSPERO (number CRD42022358426). RESULTS: A total of 19 articles involving 19,824 patients were included for quantitative analysis. Meta-analysis of these studies indicated that a history of chemotherapy, tumor type, tumor stage, presence or absence of metastasis, and use of fluorouracil, etoposide, platinum drugs, and taxane were all risk factors for PICC catheter thrombosis in cancer patients. CONCLUSION: In clinical PICC catheter thrombosis prevention, patients with the above characteristics should be watched more closely than other patients, as they have a higher risk for PICC catheter thrombosis. Based on the present evidence at hand, radiotherapy cannot be considered to be related to the formation of PICC-RVT in cancer patients. ",['eng'],['Journal Article' 'Meta-Analysis' 'Review' 'Systematic Review'],"['Humans' '*Catheters' 'China' 'Databases, Factual' 'Etoposide'
 '*Neoplasms/drug therapy']","['Clinical factors' 'Meta-analysis' 'Neoplasms'
 'Peripherally inserted central catheter' 'Venous thrombosis']"
31406874,2019,Peripherally inserted central catheters in critically ill patients - complications and its prevention: A review. ,"Peripherally inserted central catheter (PICC) is extensively used in critical care settings, because it plays a vital role in providing safe central venous entry. However, PICC is associated with several complications, which should be detected to shorten the duration of patients' improvement, reduce health care cost, and lessen the incidence of various PICC-related complications. Therefore, this study aimed to outline current literature on PICC procedures, potential complications, and measures for prevention. Understanding evidence-based guidelines regarding insertion technique, early detection of complications, and care bundle of PICC is significant in complication prevention. Implementation of education, training, and appropriate multidisciplinary approaches on PICC care among nurses and caregivers is the key to preventing complications. Thus, the strict care of indwelling PICC lines, the targeted and reasonable PICC-associated complication prevention, and nursing care have a major clinical significance in reducing the occurrence of potential PICC complications. ",['eng'],['Journal Article' 'Review'],[],"['Catheterization' 'Central venous' 'Complications' 'Intensive care'
 'Patients' 'Prevention strategies' 'Review']"
24811591,2014,Peripherally inserted central catheter (PICC)-related thrombosis in critically ill patients. ,"BACKGROUND: Peripherally inserted central catheters (PICC) are being increasingly used in critical care setting. However, PICCs are associated with a number of complications, particularly upper extremity venous thrombosis (UEVT), leading to post-thrombotic syndrome, pulmonary embolism and increased risk of catheter-related infection. OBJECTIVE: To review the literature surrounding PICCs and highlight the epidemiology, pathophysiology, diagnosis and management of PICC-related thrombosis in critically ill patients. DATA SOURCES AND EXTRACTION: We performed an electronic literature search of the databases PubMed, EMBASE and Google scholar using set search terms, from their commencement date to the end of January 2014. SUMMARY OF REVIEW: It has been shown that PICCs may double the risk of deep venous thrombosis compared with centrally inserted venous catheters, in critically ill patients. However, the incidence of PICC-related thrombosis in critically ill patients has not been quantified. Ultrasonography is the preferred diagnostic imaging modality. There are no randomized controlled trials (RCTs) on the best treatment of PICC-related thrombosis in the intensive care unit (ICU) setting and in most cohort studies, anticoagulation strategies with or without PICC removal have been used. CONCLUSIONS: Decision to insert a PICC should be taken after careful risk stratification. There is lack of high-quality evidence assessing prevention strategies and management of PICC-related thrombosis in the ICU. Well-designed RCTs are required to estimate the prevalence of UEVT in ICU patients with PICCs and evaluate the efficacy and magnitude of clinical benefit and cost-effectiveness of therapeutic strategies. ",['eng'],['Journal Article' 'Review'],"['Anticoagulants/therapeutic use' 'Catheter Obstruction/*etiology'
 'Catheterization, Central Venous/*adverse effects/instrumentation'
 'Catheterization, Peripheral/*adverse effects/instrumentation'
 'Catheters, Indwelling' 'Central Venous Catheters' 'Critical Illness'
 'Device Removal' 'Humans' 'Predictive Value of Tests' 'Risk Assessment'
 'Risk Factors' 'Treatment Outcome' 'Ultrasonography'
 'Upper Extremity Deep Vein Thrombosis/diagnostic']",[]
30697126,2019,Predictive risk factors of venous thromboembolism (VTE) associated with peripherally inserted central catheters (PICC) in ambulant solid cancer patients: retrospective single Centre cohort study. ,"AIMS: Peripherally inserted central catheters(PICC) lines are becoming increasingly popular in solid cancer patients for the administration of chemotherapy. This study aims looking at the incidence of PICC line related and distant thromboembolism associated with these catheters and exploring risk factors. METHODS: Records were reviewed for 158 patients who underwent PICC line insertion over the two years period in the medical oncology unit, Milton Keynes University Hospital. The Incidence PICC line related Deep Venous Thrombosis (DVT) which is defined as upper extremity DVT at the site of PICC line insertion was documented after checking reports of ultrasound Doppler of all symptomatic patients to confirm the presence of thrombo-embolism and Computed Tomography(CT)scan or Computed Tomography Pulmonary Angiography (CTPA) to confirm the presence Pulmonary Embolism(PE). RESULTS: 23(13%) symptomatic patients with confirmed diagnosis by ultrasound Doppler were found to have PICC line related DVT and similar number of patients developed distant VTE, namely PE and lower limbs DVT. Average time to thrombo-embolism from the insertion of PICC line was 13 days and 51 days in distant VTE. Statistically significant results have been identified in the term of risk factors leading to VTE events during the period of PICC line insertion. CONCLUSIONS: VTE is a common complication in medical oncology patients who underwent insertion PICC line insertion for chemotherapy. Risk of distant VTE is high as well as the PICC line related DVT and the risk of the PICC line related DVT is higher in the first two weeks after PICC insertion. We concluded that high BMI,high PLTs count and Fluropyrimidine containing chemotherapy are all significant risk factors for VTE events recorded while smoking and high BMI are significantly contributing to the high rate of the PICC line related DVT. ",['eng'],['Journal Article' 'Review'],[],[]
28796444,2017,The Michigan Risk Score to predict peripherally inserted central catheter-associated thrombosis. ,"Essentials How best to quantify thrombosis risk with peripherally inserted central catheters (PICC) is unknown. Data from a registry were used to develop the Michigan Risk Score (MRS) for PICC thrombosis. Five risk factors were associated with PICC thrombosis and used to develop a risk score. MRS was predictive of the risk of PICC thrombosis and can be useful in clinical practice. SUMMARY: Background Peripherally inserted central catheters (PICCs) are associated with upper extremity deep vein thrombosis (DVT). We developed a score to predict risk of PICC-related thrombosis. Methods Using data from the Michigan Hospital Medicine Safety Consortium, image-confirmed upper-extremity DVT cases were identified. A logistic, mixed-effects model with hospital-specific random intercepts was used to identify factors associated with PICC-DVT. Points were assigned to each predictor, stratifying patients into four classes of risk. Internal validation was performed by bootstrapping with assessment of calibration and discrimination of the model. Results Of 23 010 patients who received PICCs, 475 (2.1%) developed symptomatic PICC-DVT. Risk factors associated with PICC-DVT included: history of DVT; multi-lumen PICC; active cancer; presence of another CVC when the PICC was placed; and white blood cell count greater than 12 000. Four risk classes were created based on thrombosis risk. Thrombosis rates were 0.9% for class I, 1.6% for class II, 2.7% for class III and 4.7% for class IV, with marginal predicted probabilities of 0.9% (0.7, 1.2), 1.5% (1.2, 1.9), 2.6% (2.2, 3.0) and 4.5% (3.7, 5.4) for classes I, II, III, and IV, respectively. The risk classification rule was strongly associated with PICC-DVT, with odds ratios of 1.68 (95% CI, 1.19, 2.37), 2.90 (95% CI, 2.09, 4.01) and 5.20 (95% CI, 3.65, 7.42) for risk classes II, III and IV vs. risk class I, respectively. Conclusion The Michigan PICC-DVT Risk Score offers a novel way to estimate risk of DVT associated with PICCs and can help inform appropriateness of PICC insertion. ",['eng'],"['Journal Article' ""Research Support, Non-U.S. Gov't""
 ""Research Support, U.S. Gov't, P.H.S.""]","['Aged' 'Catheter Obstruction/*etiology'
 'Catheterization, Central Venous/*adverse effects/*instrumentation'
 'Catheterization, Peripheral/*adverse effects/*instrumentation'
 '*Catheters, Indwelling' '*Central Venous Catheters'
 '*Decision Support Techniques' 'Female' 'Humans' 'Logistic Models' 'Male'
 'Middle Aged' 'Multivariate Analysis' 'Odds Ratio'
 'Predictive Value of Tests' 'Proportional Hazards Models' 'Registries'
 'Risk Assessment' 'Risk Factors'
 'Upper Extremity Deep Vein Thrombosis/*etiology']","['deep vein thrombosis' 'peripherally inserted central catheter'
 'thrombosis' 'upper extremity' 'venous thromboembolism']"
31324590,2020,PICC management led by technicians: Establishment of a cooperation program with radiologists and evaluation of complications. ,"PURPOSE: The purpose of this study was to evaluate a cooperation program in order to compare incidence of complications after peripherally inserted central catheter (PICC) placement between radiologists and technicians. MATERIALS AND METHODS: PICC placement technique was standardized with ultrasound-guided puncture and fluoroscopic guidance. Numbers of PICC delegated to technicians, and PICC placement difficulties, were prospectively recorded for the whole study population whereas complications such as PICC infection, deep venous thrombosis and catheter occlusion were prospectively recorded until PICC removal for a subgroup of patients included during one month. RESULTS: A total of 722 patients had PICC placement. There were 382 men and 340 women with a mean age of 66.8±15.8 (SD) years (range: 18-94years); of these, 442/722 patients (61.22%) were included in the cooperation program with 433/722 patients (59.97%) who effectively had PICC placement by technicians and 289/722 (40.03%) by radiologists. Technicians needed radiologists' help for 23/442 patients (5.20%) including 6 failed PICC placement subsequently performed by radiologists. Twenty complications (20/77; 26%) were recorded in the subgroup of 77 patients studied for complications. No differences in complications rate were found between the 33 patients who underwent PICC placement by radiologists (6/33; 18%) and the 44 patients who underwent PICC placement by technicians (14/44; 32%) (P=0.296). Complications included 8 PICC-related infections (8/77; 10.4%), 3 deep venous thromboses (3/77; 3.9%) and 9 catheter occlusions (9/77; 11.7%). CONCLUSION: PICC placement led by technicians is feasible and safe without statistical difference in terms of complications compared to PICC placement made by radiologists. ",['eng'],['Comparative Study' 'Journal Article'],"['Adolescent' 'Adult' 'Aged' 'Aged, 80 and over' 'Allied Health Personnel'
 'Catheterization, Peripheral/adverse effects/*standards' 'Female'
 'Humans' 'Incidence' 'Male' 'Middle Aged' 'Patient Care Team'
 'Postoperative Complications/*epidemiology/etiology'
 'Prospective Studies' 'Radiology' 'Young Adult']","['Complication' 'Cooperation program'
 'Peripherally inserted central catheter (PICC)' 'Safety' 'Venous access']"
