PMID,FACTOR,TEXT
34600737,Gender,"adjusted means los were higher for patients with picc lines compared to midlines, in both females and males."
34218708,Chemotherapy,"more than 1 million peripherally inserted central catheters (picc) are placed annually in the us and are used to provide convenient vascular access for a variety of reasons including long term antibiotic treatment, chemotherapy, parenteral nutrition, and blood draws."
34218708,Total parenteral nutrition,"more than 1 million peripherally inserted central catheters (picc) are placed annually in the us and are used to provide convenient vascular access for a variety of reasons including long term antibiotic treatment, chemotherapy, parenteral nutrition, and blood draws."
34218708,PICC infection,"although they are relatively easy to place and inexpensive, picc line use is associated with many complications such as phlebitis/thrombophlebitis, venous thrombosis, catheter-related infection, wound infection, and central vein stenosis."
37314592,Chemotherapy,"purpose: there is a lack of studies that systematically evaluate the clinical factors of picc-rvt such as treatment, tumor stage, metastasis, and chemotherapy drugs in cancer patients. meta-analysis of these studies indicated that a history of chemotherapy, tumor type, tumor stage, presence or absence of metastasis, and use of fluorouracil, etoposide, platinum drugs, and taxane were all risk factors for picc catheter thrombosis in cancer patients."
37314592,Cancer,"clinical factors of picc-rvt in cancer patients: a meta-analysis. purpose: there is a lack of studies that systematically evaluate the clinical factors of picc-rvt such as treatment, tumor stage, metastasis, and chemotherapy drugs in cancer patients. this study, therefore, aims to evaluate the clinical factors of catheter-related venous thrombosis in cancer patients with indwelling picc to provide a basis for the clinical prevention and reduction of thrombosis. meta-analysis of these studies indicated that a history of chemotherapy, tumor type, tumor stage, presence or absence of metastasis, and use of fluorouracil, etoposide, platinum drugs, and taxane were all risk factors for picc catheter thrombosis in cancer patients. based on the present evidence at hand, radiotherapy cannot be considered to be related to the formation of picc-rvt in cancer patients."
24811591,ICU,"there are no randomized controlled trials (rcts) on the best treatment of picc-related thrombosis in the intensive care unit (icu) setting and in most cohort studies, anticoagulation strategies with or without picc removal have been used."
24811591,PICC infection,"however, piccs are associated with a number of complications, particularly upper extremity venous thrombosis (uevt), leading to post-thrombotic syndrome, pulmonary embolism and increased risk of catheter-related infection."
30697126,Chemotherapy,"aims: peripherally inserted central catheters(picc) lines are becoming increasingly popular in solid cancer patients for the administration of chemotherapy. conclusions: vte is a common complication in medical oncology patients who underwent insertion picc line insertion for chemotherapy. we concluded that high bmi,high plts count and fluropyrimidine containing chemotherapy are all significant risk factors for vte events recorded while smoking and high bmi are significantly contributing to the high rate of the picc line related dvt."
30697126,Cancer,predictive risk factors of venous thromboembolism (vte) associated with peripherally inserted central catheters (picc) in ambulant solid cancer patients: retrospective single centre cohort study. aims: peripherally inserted central catheters(picc) lines are becoming increasingly popular in solid cancer patients for the administration of chemotherapy.
30697126,BMI,"we concluded that high bmi,high plts count and fluropyrimidine containing chemotherapy are all significant risk factors for vte events recorded while smoking and high bmi are significantly contributing to the high rate of the picc line related dvt."
30697126,Smoking,"we concluded that high bmi,high plts count and fluropyrimidine containing chemotherapy are all significant risk factors for vte events recorded while smoking and high bmi are significantly contributing to the high rate of the picc line related dvt."
30697126,PICC insertion procedure,risk of distant vte is high as well as the picc line related dvt and the risk of the picc line related dvt is higher in the first two weeks after picc insertion.
28796444,Cancer,risk factors associated with picc-dvt included: history of dvt; multi-lumen picc; active cancer; presence of another cvc when the picc was placed; and white blood cell count greater than 12 000.
28796444,PICC insertion procedure,conclusion the michigan picc-dvt risk score offers a novel way to estimate risk of dvt associated with piccs and can help inform appropriateness of picc insertion.
28796444,Biology ( blood platelet level_white blood cell level_triglycerides_fibrinogen),risk factors associated with picc-dvt included: history of dvt; multi-lumen picc; active cancer; presence of another cvc when the picc was placed; and white blood cell count greater than 12 000.
31324590,PICC infection,"numbers of picc delegated to technicians, and picc placement difficulties, were prospectively recorded for the whole study population whereas complications such as picc infection, deep venous thrombosis and catheter occlusion were prospectively recorded until picc removal for a subgroup of patients included during one month. complications included 8 picc-related infections (8/77; 10.4%), 3 deep venous thromboses (3/77; 3.9%) and 9 catheter occlusions (9/77; 11.7%)."
36601900,Slower blood flow velocity,conclusions: exercise therapy improved venous blood flow velocity and effectively reduced the incidence of picc-associated vte.
35802673,PICC infection,"in 2017, 5 of 429 piccs developed a central line-associated infection (1.2%) and 29 of 429 piccs developed symptomatic venous thromboembolism (6.7%)."
33889013,Chemotherapy,"risk factors of picc-related venous thrombosis in breast cancer patients undergoing chemotherapy. background: to analyze the risk factors of a peripherally inserted central catheter (picc)-related venous thrombosis in patients with breast cancer undergoing chemotherapy and explore its preventive measures. methods: data of 780 patients with breast cancer who underwent picc chemotherapy in our hospital from january 2014 to june 2015 were retrospectively analyzed. thrombosis was not associated with age, punctured limb, platelet count, or chemotherapy drugs (p > 0.05). conclusion: blood vessel puncture was the main factor that affected picc-related thrombosis in breast cancer chemotherapy."
33889013,Cancer,"risk factors of picc-related venous thrombosis in breast cancer patients undergoing chemotherapy. background: to analyze the risk factors of a peripherally inserted central catheter (picc)-related venous thrombosis in patients with breast cancer undergoing chemotherapy and explore its preventive measures. methods: data of 780 patients with breast cancer who underwent picc chemotherapy in our hospital from january 2014 to june 2015 were retrospectively analyzed. results: among the 780 patients with breast cancer, 36 developed picc-related venous thrombosis. conclusion: blood vessel puncture was the main factor that affected picc-related thrombosis in breast cancer chemotherapy."
