PMID,FACTOR,RISK,TEXT,LLM_OUTPUT
34218708,Chemotherapy,Yes,"more than 1 million peripherally inserted central catheters (picc) are placed annually in the us and are used to provide convenient vascular access for a variety of reasons including long term antibiotic treatment, chemotherapy, parenteral nutrition, and blood draws..",Yes.
37314592,Chemotherapy,Yes,"purpose: there is a lack of studies that systematically evaluate the clinical factors of picc-rvt such as treatment, tumor stage, metastasis, and chemotherapy drugs in cancer patients. meta-analysis of these studies indicated that a history of chemotherapy, tumor type, tumor stage, presence or absence of metastasis, and use of fluorouracil, etoposide, platinum drugs, and taxane were all risk factors for picc catheter thrombosis in cancer patients..",Yes
37314592,Cancer,Yes,"clinical factors of picc-rvt in cancer patients: a meta-analysis. purpose: there is a lack of studies that systematically evaluate the clinical factors of picc-rvt such as treatment, tumor stage, metastasis, and chemotherapy drugs in cancer patients. this study, therefore, aims to evaluate the clinical factors of catheter-related venous thrombosis in cancer patients with indwelling picc to provide a basis for the clinical prevention and reduction of thrombosis. meta-analysis of these studies indicated that a history of chemotherapy, tumor type, tumor stage, presence or absence of metastasis, and use of fluorouracil, etoposide, platinum drugs, and taxane were all risk factors for picc catheter thrombosis in cancer patients..",Yes
24811591,ICU,Yes,"however, piccs are associated with a number of complications, particularly upper extremity venous thrombosis (uevt), leading to post-thrombotic syndrome, pulmonary embolism and increased risk of catheter-related infection. there is lack of high-quality evidence assessing prevention strategies and management of picc-related thrombosis in the icu..",Yes
30697126,Chemotherapy,Yes,"we concluded that high bmi,high plts count and fluropyrimidine containing chemotherapy are all significant risk factors for vte events recorded while smoking and high bmi are significantly contributing to the high rate of the picc line related dvt..",Yes
30697126,Cancer,Yes,predictive risk factors of venous thromboembolism (vte) associated with peripherally inserted central catheters (picc) in ambulant solid cancer patients: retrospective single centre cohort study..,Yes
30697126,BMI,Yes,"we concluded that high bmi,high plts count and fluropyrimidine containing chemotherapy are all significant risk factors for vte events recorded while smoking and high bmi are significantly contributing to the high rate of the picc line related dvt..",Yes
30697126,Smoking,Yes,"we concluded that high bmi,high plts count and fluropyrimidine containing chemotherapy are all significant risk factors for vte events recorded while smoking and high bmi are significantly contributing to the high rate of the picc line related dvt..","Yes. According to the text, smoking is a risk factor for VTE events."
28796444,Cancer,Yes,risk factors associated with picc-dvt included: history of dvt; multi-lumen picc; active cancer; presence of another cvc when the picc was placed; and white blood cell count greater than 12 000..,Yes. Cancer is a risk factor for PICC-DVT.
31324590,PICC infection,Yes,"numbers of picc delegated to technicians, and picc placement difficulties, were prospectively recorded for the whole study population whereas complications such as picc infection, deep venous thrombosis and catheter occlusion were prospectively recorded until picc removal for a subgroup of patients included during one month..",Yes
33889013,Chemotherapy,Yes,"risk factors of picc-related venous thrombosis in breast cancer patients undergoing chemotherapy. background: to analyze the risk factors of a peripherally inserted central catheter (picc)-related venous thrombosis in patients with breast cancer undergoing chemotherapy and explore its preventive measures. thrombosis was not associated with age, punctured limb, platelet count, or chemotherapy drugs (p > 0.05). conclusion: blood vessel puncture was the main factor that affected picc-related thrombosis in breast cancer chemotherapy..",Yes
33889013,Cancer,Yes,risk factors of picc-related venous thrombosis in breast cancer patients undergoing chemotherapy. background: to analyze the risk factors of a peripherally inserted central catheter (picc)-related venous thrombosis in patients with breast cancer undergoing chemotherapy and explore its preventive measures. conclusion: blood vessel puncture was the main factor that affected picc-related thrombosis in breast cancer chemotherapy..,Yes
23715775,Diabete,Yes,"a diagnosis of diabetes was the only factor that significantly predicted complications (hazard ratio, 2.71; 95% confidence interval, 1.13-6.13)..",Yes
37573601,ICU,Yes,"context: peripherally inserted central catheters (piccs) have a high incidence of catheter occlusion, but research exploring the risk factors for such an occlusion for patients in intensive care units (icus) is lacking. the team: (1) built a risk prediction model of picc occlusion using the independent risk factors for catheter occlusion for picc patients in an icu and (2) used the hosmer-lemeshow goodness-of-fit test to test the prediction model. this prediction model had an outstanding ability to discriminate in identifying patients with a high-risk of picc occlusion in the icu..",Yes
37573601,Diabete,Yes,"results: the univariate analysis showed that 13 factors were associated with picc occlusion, including: (1) an age ≥65 years (p < .001), a bmi of ≥24 kg/m2 (p < .001), (2) a bmi of ≥24kg/m2 (p = .002), (3) diabetes (p < .001), (4) stroke (p < .001), (5) hypertension (p < .001), (6) malignant tumors (p < .001), (7) a history of deep vein thrombosis (p < .001), (8) limb activity (p < .001), (10) flushing and sealing pipe frequency of q8h (p = .035), (11) retention time (p < .001), (12) an increased platelet count (p = .036), (13) blood transfusions (p < .001), and (14) intravenous nutrition (p < .001). the independent risk factors for picc occlusion included: (1) age ≥65 years-or=1.224, p = .028; (2) bmi ≥24 kg/m2-or=1.679, p = .004; (3) diabetes-or=1.343, p = .017; (4) malignant tumors-or=2.736, p < .001; (5) blood transfusions-or=1.947, p < .001), and (6) intravenous nutrition-or=2.021, p < .001. conclusions: age ≥65 years, bmi ≥24 kg/m2, diabetes, malignant tumors, blood transfusions, and intravenous nutrition were independent risk factors for picc occlusion, while the frequency of flushing and sealing pipe (q8h) was a protective factor..","Yes, Diabetes is a risk factor for PICC occlusion."
37573601,BMI,Yes,"results: the univariate analysis showed that 13 factors were associated with picc occlusion, including: (1) an age ≥65 years (p < .001), a bmi of ≥24 kg/m2 (p < .001), (2) a bmi of ≥24kg/m2 (p = .002), (3) diabetes (p < .001), (4) stroke (p < .001), (5) hypertension (p < .001), (6) malignant tumors (p < .001), (7) a history of deep vein thrombosis (p < .001), (8) limb activity (p < .001), (10) flushing and sealing pipe frequency of q8h (p = .035), (11) retention time (p < .001), (12) an increased platelet count (p = .036), (13) blood transfusions (p < .001), and (14) intravenous nutrition (p < .001). the independent risk factors for picc occlusion included: (1) age ≥65 years-or=1.224, p = .028; (2) bmi ≥24 kg/m2-or=1.679, p = .004; (3) diabetes-or=1.343, p = .017; (4) malignant tumors-or=2.736, p < .001; (5) blood transfusions-or=1.947, p < .001), and (6) intravenous nutrition-or=2.021, p < .001. conclusions: age ≥65 years, bmi ≥24 kg/m2, diabetes, malignant tumors, blood transfusions, and intravenous nutrition were independent risk factors for picc occlusion, while the frequency of flushing and sealing pipe (q8h) was a protective factor..",Yes
37573601,Age,Yes,"objective: the study intended to examine the impact of multiple risk factors on the occurrence of picc catheter occlusion to find evidence that can help clinical medical staff identify patients at an early stage who are at high risk of a catheter occlusion. results: the univariate analysis showed that 13 factors were associated with picc occlusion, including: (1) an age ≥65 years (p < .001), a bmi of ≥24 kg/m2 (p < .001), (2) a bmi of ≥24kg/m2 (p = .002), (3) diabetes (p < .001), (4) stroke (p < .001), (5) hypertension (p < .001), (6) malignant tumors (p < .001), (7) a history of deep vein thrombosis (p < .001), (8) limb activity (p < .001), (10) flushing and sealing pipe frequency of q8h (p = .035), (11) retention time (p < .001), (12) an increased platelet count (p = .036), (13) blood transfusions (p < .001), and (14) intravenous nutrition (p < .001). the independent risk factors for picc occlusion included: (1) age ≥65 years-or=1.224, p = .028; (2) bmi ≥24 kg/m2-or=1.679, p = .004; (3) diabetes-or=1.343, p = .017; (4) malignant tumors-or=2.736, p < .001; (5) blood transfusions-or=1.947, p < .001), and (6) intravenous nutrition-or=2.021, p < .001. conclusions: age ≥65 years, bmi ≥24 kg/m2, diabetes, malignant tumors, blood transfusions, and intravenous nutrition were independent risk factors for picc occlusion, while the frequency of flushing and sealing pipe (q8h) was a protective factor..","Yes. According to the text, age ≥65 years is a risk factor for picc catheter occlusion."
37573601,Hypertension,Yes,"results: the univariate analysis showed that 13 factors were associated with picc occlusion, including: (1) an age ≥65 years (p < .001), a bmi of ≥24 kg/m2 (p < .001), (2) a bmi of ≥24kg/m2 (p = .002), (3) diabetes (p < .001), (4) stroke (p < .001), (5) hypertension (p < .001), (6) malignant tumors (p < .001), (7) a history of deep vein thrombosis (p < .001), (8) limb activity (p < .001), (10) flushing and sealing pipe frequency of q8h (p = .035), (11) retention time (p < .001), (12) an increased platelet count (p = .036), (13) blood transfusions (p < .001), and (14) intravenous nutrition (p < .001)..",Yes
34540095,Chemotherapy,Yes,"predisposing factors and effect of bundle nursing in picc-related upper extremity deep venous thrombosis in patients with non-hodgkin's lymphoma undergoing chemotherapy. objective: to explore the effects of bundle nursing on picc-related upper extremity deep venous thrombosis (picc-uedvt) in patients with non-hodgkin's lymphoma (nhl) who are undergoing chemotherapy, and contributing factors toward picc-uedvt. methods: 370 nhl patients undergoing chemotherapy in the department of hematology were selected prospectively and randomized into a control group (receiving routine nursing) and an observation group (receiving bundle nursing) using random number method..","Yes. According to the text, chemotherapy is a risk factor for Picc-related upper extremity deep venous thrombosis in patients with Non-Hodgkin's Lymphoma."
34738565,Cancer,Yes,"unless specific contraindications, ports can be preferred for systemic treatment in gynecological cancer patients..",Yes
36747971,Smoking,Yes,"additionally, the number of smoking histories in the thrombosis group (18, 38.30%) was significantly higher than that in the nonthrombosis group (5, 9.80%). b) logistic regression analysis indicated that rdw and smoking history were independent risk factors for picc-related thrombosis (or: 3.028, p<0.001; or: 5.640, p=0.023). d) cox regression analysis revealed that rdw and smoking history were independent risk factors for picc-related thrombosis (p<0.001)..",Yes
32195936,Cancer,Yes,"the clinical features and related factors of picc-related upper extremity asymptomatic venous thrombosis in cancer patients: a prospective study. it is very important to further explore the relationship among these features, so that prevent and treat the picc-related thrombosis.to investigate the clinical features and the related factors of picc-related upper extremity asymptomatic venous thrombosis in cancer patients, and to provide theoretical basis for the prevention of venous thrombosis.a total of 127 tumor patients with picc catheterization were selected..",Yes
27161689,Age,Yes,the mean age of patients who has picc associated thrombosis was 51.6 years (±8.1 years)..,Yes
31724074,Cancer,Yes,"purpose: the use of central venous catheters with peripheral insertion (picc) has increased rapidly in recent years, particularly in cancer patients..",Yes
33617142,Slower blood flow velocity,Yes,"a higher eastern cooperative oncology group score (ecog), slower blood flow velocity and left basilic vein were independent risk factors of asymptomatic thrombosis..","Yes. According to the text, slower blood flow velocity is an independent risk factor for asymptomatic thrombosis."
32921123,Chemotherapy,Yes,a total of 98 patients with malignant tumors who underwent long-term chemotherapy with picc were randomly divided into an observation group (49 cases) and a control group (49 cases)..,Yes
37553006,Cancer,Yes,upper limb lymphedema impacts the risk of peripherally inserted central catheter-related thrombosis in patients with breast cancer. there is little information on the risk for catheter-related thrombosis in patients with upper limb lymphedema following breast cancer treatment. we investigated the association between upper limb lymphedema and the risk of peripherally inserted central catheterrelated thrombosis (picc-rt) occurring in the contralateral limb of patients with breast cancer..,Yes
34613657,Cancer,Yes,"development of a risk score to predict peripherally inserted central catheter thrombosis in active cancer. in active cancer, we assessed the khorana risk score (krs) and michigan risk score (mrs) for predicting picc thrombosis and modifications to improve discriminative accuracy. conclusion: cancer patients had longer picc durations and higher picc thrombosis rates than those without (7% vs 0.7%)..",Yes
33148905,Cancer,Yes,"conclusion : piccs are safer and more effective than ciccs for the treatment of esophageal cancer, and reduce the incidence of crbsi..","Yes. According to the text, cancer is a risk factor for the use of both PICCs (peripherally inserted central catheters) and CICCs (central venous catheters) in the treatment of esophageal cancer. The text states that the use of PICCs and CICCs can reduce the incidence of CRBSI (catheter-related bloodstream infections)."
34511570,Chemotherapy,Yes,"risk factors for complications associated with peripherally inserted central catheters during induction chemotherapy for acute myeloid leukemia. however, the risks of picc-related complications during chemotherapy for acute myeloid leukemia (aml) are not fully understood. conclusion low picc-related complication rates, possibly associated with high rates of catheter removal, were observed during intensive chemotherapy for aml..",Yes
33249623,Cancer,Yes,incidence and risk factors of symptomatic thrombosis related to peripherally inserted central catheter in patients with lung cancer. aims: to determine the incidence and risk factors associated with peripherally inserted central catheter-related thrombosis (picc-rt) in patients with lung cancer..,Yes
33249623,Smoking,Yes,"based on the multivariate analysis, history of smoking [or 2.49 (1.13-5.46), p < .05], use of carboplatin [or 2.23 (1.19-4.17), p < .05] or docetaxel [or 7.23 (1.65-31.56), p < .05], picc size [or 3.52 (1.78-6.99), p < .001], and level of d-dimer [or 5.32 (2.39-11.83), p < .001] were significant risk factors of picc-rt..",Yes
34794291,Cancer,Yes,"conclusion: the indications for picc through the lower limbs in adults include patients with advanced malignant tumor after bilateral breast cancer lymphadenectomy or superior vena cava obstruction syndrome, and mainly bedridden patients..",Yes
26207019,Chemotherapy,Yes,we aimed to scrutinize the incidence and risk factors for picc-related upper extremity venous thrombosis (uevt) in patients with lung cancer receiving chemotherapy..,Yes
26207019,Cancer,Yes,"we aimed to scrutinize the incidence and risk factors for picc-related upper extremity venous thrombosis (uevt) in patients with lung cancer receiving chemotherapy. patient-, catheter-, and insertion-related factors were analyzed in univariable and multivariable logistic regression to identify significant independent risk factors for picc-uevt in patients with lung cancer. conclusion: patients with lung cancer harboring an advanced disease or treating with etoposide were at higher risk of picc-uevt..",Yes
24268631,Cancer,Yes,"there was a statistically significantly higher thrombosis rate in patients with cancer (71.9% vs 66.7%, p = .002)..",Yes
