PMID,FACTOR,RISK,TEXT,LLM_OUTPUT
34600737,Gender,No,"picc versus midlines: comparison of peripherally inserted central catheters and midline catheters with respect to incidence of thromboembolic and infectious complications. . introduction: to decrease the complications related to central catheters there has been an increasing utilization of peripherally inserted central catheters (picc) and ultrasound-guided long peripheral intravenous catheters (i.e. midlines). while the complications of picc lines are well described there is less reported data on complications related to midline catheters. our study aims are to compare the incidences of infectious and deep venous thrombosis (dvt) and sepsis related to piccs and midlines. methods: we performed a single-center retrospective review at an academic hospital. data were collected on patients admitted between 1/1/2014-5/31/2016. patient demographics, hospital length of stay (los), and ventilator days were collected. outcomes of interest were line-related infections and thromboembolic events after the placement of these catheters. endpoints were compared between three groups (picc group, midline group and picc placement followed by midline placement group). univariate and multivariable analyses were used to compare across the three groups. results: the study included 3560 unique patients with 5058 catheters. there was an increase in use of midlines over the observed study period (245% increase from the end of 2015 to the middle of 2016). we found no significant differences in the rates of dvt among the three groups (picc 4%, midline 3% and picc-midline 4%; p = 0.12). there were no differences across the groups for sepsis (picc 29%, midline 27%, and picc-midline 32%; p = 0.14) or septic shock (picc 7%, midline 8%, and picc-midline 6%; p = 0.39). adjusted means los were higher for patients with picc lines compared to midlines, in both females and males. picc group stayed longer, on average, on the ventilator compared to the midline group. no other significant differences were seen among groups. conclusion: increased utilization of midline catheters were not associated with decreased risk of dvt or sepsis when compared to peripherally inserted central catheters. ",No
34218708,Chemotherapy,Yes,"picc line management among patients with chronic kidney disease. . more than 1 million peripherally inserted central catheters (picc) are placed annually in the us and are used to provide convenient vascular access for a variety of reasons including long term antibiotic treatment, chemotherapy, parenteral nutrition, and blood draws. although they are relatively easy to place and inexpensive, picc line use is associated with many complications such as phlebitis/thrombophlebitis, venous thrombosis, catheter-related infection, wound infection, and central vein stenosis. these complications are far more deleterious for patients with chronic kidney disease (ckd) whose lives depend on a functioning hemodialysis access once they reach end stage kidney disease (eskd). despite recent guidelines to avoid picc lines in ckd and eskd patients, clinical use remains high. there is an ongoing urgency to educate and inform health care providers and the ckd patients themselves in preserving their venous real estate. in this article, we review av access and picc line background, complications associated with picc lines in the ckd population, and recommendations for alternatives to placing a picc line in this vulnerable patient population. ",YES
34218708,Total parenteral nutrition,Yes,"picc line management among patients with chronic kidney disease. . more than 1 million peripherally inserted central catheters (picc) are placed annually in the us and are used to provide convenient vascular access for a variety of reasons including long term antibiotic treatment, chemotherapy, parenteral nutrition, and blood draws. although they are relatively easy to place and inexpensive, picc line use is associated with many complications such as phlebitis/thrombophlebitis, venous thrombosis, catheter-related infection, wound infection, and central vein stenosis. these complications are far more deleterious for patients with chronic kidney disease (ckd) whose lives depend on a functioning hemodialysis access once they reach end stage kidney disease (eskd). despite recent guidelines to avoid picc lines in ckd and eskd patients, clinical use remains high. there is an ongoing urgency to educate and inform health care providers and the ckd patients themselves in preserving their venous real estate. in this article, we review av access and picc line background, complications associated with picc lines in the ckd population, and recommendations for alternatives to placing a picc line in this vulnerable patient population. ",YES
34218708,PICC infection,Yes,"picc line management among patients with chronic kidney disease. . more than 1 million peripherally inserted central catheters (picc) are placed annually in the us and are used to provide convenient vascular access for a variety of reasons including long term antibiotic treatment, chemotherapy, parenteral nutrition, and blood draws. although they are relatively easy to place and inexpensive, picc line use is associated with many complications such as phlebitis/thrombophlebitis, venous thrombosis, catheter-related infection, wound infection, and central vein stenosis. these complications are far more deleterious for patients with chronic kidney disease (ckd) whose lives depend on a functioning hemodialysis access once they reach end stage kidney disease (eskd). despite recent guidelines to avoid picc lines in ckd and eskd patients, clinical use remains high. there is an ongoing urgency to educate and inform health care providers and the ckd patients themselves in preserving their venous real estate. in this article, we review av access and picc line background, complications associated with picc lines in the ckd population, and recommendations for alternatives to placing a picc line in this vulnerable patient population. ",YES
37314592,Chemotherapy,Yes,"clinical factors of picc-rvt in cancer patients: a meta-analysis. . purpose: there is a lack of studies that systematically evaluate the clinical factors of picc-rvt such as treatment, tumor stage, metastasis, and chemotherapy drugs in cancer patients. this study, therefore, aims to evaluate the clinical factors of catheter-related venous thrombosis in cancer patients with indwelling picc to provide a basis for the clinical prevention and reduction of thrombosis. methods: relevant studies were retrieved from major databases (pubmed, embase, web of science, china national knowledge infrastructure (cnki), wanfang data, and china biology medicine disc (cmb)) and searched from their earliest available dates until july 2022. if two or more studies had the same outcome, a meta-analysis using revman 5.4.1 was performed. this systematic review was registered at prospero (number crd42022358426). results: a total of 19 articles involving 19,824 patients were included for quantitative analysis. meta-analysis of these studies indicated that a history of chemotherapy, tumor type, tumor stage, presence or absence of metastasis, and use of fluorouracil, etoposide, platinum drugs, and taxane were all risk factors for picc catheter thrombosis in cancer patients. conclusion: in clinical picc catheter thrombosis prevention, patients with the above characteristics should be watched more closely than other patients, as they have a higher risk for picc catheter thrombosis. based on the present evidence at hand, radiotherapy cannot be considered to be related to the formation of picc-rvt in cancer patients. ",YES
37314592,Cancer,Yes,"clinical factors of picc-rvt in cancer patients: a meta-analysis. . purpose: there is a lack of studies that systematically evaluate the clinical factors of picc-rvt such as treatment, tumor stage, metastasis, and chemotherapy drugs in cancer patients. this study, therefore, aims to evaluate the clinical factors of catheter-related venous thrombosis in cancer patients with indwelling picc to provide a basis for the clinical prevention and reduction of thrombosis. methods: relevant studies were retrieved from major databases (pubmed, embase, web of science, china national knowledge infrastructure (cnki), wanfang data, and china biology medicine disc (cmb)) and searched from their earliest available dates until july 2022. if two or more studies had the same outcome, a meta-analysis using revman 5.4.1 was performed. this systematic review was registered at prospero (number crd42022358426). results: a total of 19 articles involving 19,824 patients were included for quantitative analysis. meta-analysis of these studies indicated that a history of chemotherapy, tumor type, tumor stage, presence or absence of metastasis, and use of fluorouracil, etoposide, platinum drugs, and taxane were all risk factors for picc catheter thrombosis in cancer patients. conclusion: in clinical picc catheter thrombosis prevention, patients with the above characteristics should be watched more closely than other patients, as they have a higher risk for picc catheter thrombosis. based on the present evidence at hand, radiotherapy cannot be considered to be related to the formation of picc-rvt in cancer patients. ",YES
24811591,ICU,Yes,"peripherally inserted central catheter (picc)-related thrombosis in critically ill patients. . background: peripherally inserted central catheters (picc) are being increasingly used in critical care setting. however, piccs are associated with a number of complications, particularly upper extremity venous thrombosis (uevt), leading to post-thrombotic syndrome, pulmonary embolism and increased risk of catheter-related infection. objective: to review the literature surrounding piccs and highlight the epidemiology, pathophysiology, diagnosis and management of picc-related thrombosis in critically ill patients. data sources and extraction: we performed an electronic literature search of the databases pubmed, embase and google scholar using set search terms, from their commencement date to the end of january 2014. summary of review: it has been shown that piccs may double the risk of deep venous thrombosis compared with centrally inserted venous catheters, in critically ill patients. however, the incidence of picc-related thrombosis in critically ill patients has not been quantified. ultrasonography is the preferred diagnostic imaging modality. there are no randomized controlled trials (rcts) on the best treatment of picc-related thrombosis in the intensive care unit (icu) setting and in most cohort studies, anticoagulation strategies with or without picc removal have been used. conclusions: decision to insert a picc should be taken after careful risk stratification. there is lack of high-quality evidence assessing prevention strategies and management of picc-related thrombosis in the icu. well-designed rcts are required to estimate the prevalence of uevt in icu patients with piccs and evaluate the efficacy and magnitude of clinical benefit and cost-effectiveness of therapeutic strategies. ",YES
24811591,PICC infection,Yes,"peripherally inserted central catheter (picc)-related thrombosis in critically ill patients. . background: peripherally inserted central catheters (picc) are being increasingly used in critical care setting. however, piccs are associated with a number of complications, particularly upper extremity venous thrombosis (uevt), leading to post-thrombotic syndrome, pulmonary embolism and increased risk of catheter-related infection. objective: to review the literature surrounding piccs and highlight the epidemiology, pathophysiology, diagnosis and management of picc-related thrombosis in critically ill patients. data sources and extraction: we performed an electronic literature search of the databases pubmed, embase and google scholar using set search terms, from their commencement date to the end of january 2014. summary of review: it has been shown that piccs may double the risk of deep venous thrombosis compared with centrally inserted venous catheters, in critically ill patients. however, the incidence of picc-related thrombosis in critically ill patients has not been quantified. ultrasonography is the preferred diagnostic imaging modality. there are no randomized controlled trials (rcts) on the best treatment of picc-related thrombosis in the intensive care unit (icu) setting and in most cohort studies, anticoagulation strategies with or without picc removal have been used. conclusions: decision to insert a picc should be taken after careful risk stratification. there is lack of high-quality evidence assessing prevention strategies and management of picc-related thrombosis in the icu. well-designed rcts are required to estimate the prevalence of uevt in icu patients with piccs and evaluate the efficacy and magnitude of clinical benefit and cost-effectiveness of therapeutic strategies. ",YES
30697126,Chemotherapy,Yes,"predictive risk factors of venous thromboembolism (vte) associated with peripherally inserted central catheters (picc) in ambulant solid cancer patients: retrospective single centre cohort study. . aims: peripherally inserted central catheters(picc) lines are becoming increasingly popular in solid cancer patients for the administration of chemotherapy. this study aims looking at the incidence of picc line related and distant thromboembolism associated with these catheters and exploring risk factors. methods: records were reviewed for 158 patients who underwent picc line insertion over the two years period in the medical oncology unit, milton keynes university hospital. the incidence picc line related deep venous thrombosis (dvt) which is defined as upper extremity dvt at the site of picc line insertion was documented after checking reports of ultrasound doppler of all symptomatic patients to confirm the presence of thrombo-embolism and computed tomography(ct)scan or computed tomography pulmonary angiography (ctpa) to confirm the presence pulmonary embolism(pe). results: 23(13%) symptomatic patients with confirmed diagnosis by ultrasound doppler were found to have picc line related dvt and similar number of patients developed distant vte, namely pe and lower limbs dvt. average time to thrombo-embolism from the insertion of picc line was 13 days and 51 days in distant vte. statistically significant results have been identified in the term of risk factors leading to vte events during the period of picc line insertion. conclusions: vte is a common complication in medical oncology patients who underwent insertion picc line insertion for chemotherapy. risk of distant vte is high as well as the picc line related dvt and the risk of the picc line related dvt is higher in the first two weeks after picc insertion. we concluded that high bmi,high plts count and fluropyrimidine containing chemotherapy are all significant risk factors for vte events recorded while smoking and high bmi are significantly contributing to the high rate of the picc line related dvt. ",Yes
30697126,Cancer,Yes,"predictive risk factors of venous thromboembolism (vte) associated with peripherally inserted central catheters (picc) in ambulant solid cancer patients: retrospective single centre cohort study. . aims: peripherally inserted central catheters(picc) lines are becoming increasingly popular in solid cancer patients for the administration of chemotherapy. this study aims looking at the incidence of picc line related and distant thromboembolism associated with these catheters and exploring risk factors. methods: records were reviewed for 158 patients who underwent picc line insertion over the two years period in the medical oncology unit, milton keynes university hospital. the incidence picc line related deep venous thrombosis (dvt) which is defined as upper extremity dvt at the site of picc line insertion was documented after checking reports of ultrasound doppler of all symptomatic patients to confirm the presence of thrombo-embolism and computed tomography(ct)scan or computed tomography pulmonary angiography (ctpa) to confirm the presence pulmonary embolism(pe). results: 23(13%) symptomatic patients with confirmed diagnosis by ultrasound doppler were found to have picc line related dvt and similar number of patients developed distant vte, namely pe and lower limbs dvt. average time to thrombo-embolism from the insertion of picc line was 13 days and 51 days in distant vte. statistically significant results have been identified in the term of risk factors leading to vte events during the period of picc line insertion. conclusions: vte is a common complication in medical oncology patients who underwent insertion picc line insertion for chemotherapy. risk of distant vte is high as well as the picc line related dvt and the risk of the picc line related dvt is higher in the first two weeks after picc insertion. we concluded that high bmi,high plts count and fluropyrimidine containing chemotherapy are all significant risk factors for vte events recorded while smoking and high bmi are significantly contributing to the high rate of the picc line related dvt. ",Yes
