Factor,retrospective,review,prospective,meta-analysis,undefined,rct
Two or more lumens,24440542 - 32028425 - 23838218 - 37052429 - 37370862 - 30379146 - 30845210 ,,30391696 ,,29118410 ,
Medical department admission (including ICU),24440542 - 28822403 ,,37114756 ,,31937457 ,
Hospital length of stay,24440542 - 24911379 - 30845210 ,,36921694 - 37151085 - 37114756 ,,36438461 ,
Parenteral nutrition,34218708 - 37146111 - 25852128 ,,33298237 ,,,
Advanced Age,25953205 - 30845210 ,,,,31937457 ,
Previous PICC,36597793 ,,,,31937457 ,
PICC dwell time,34628865 - 29516966 - 28540264 - 32569313 - 26269383 ,27397766 ,,,,
Immunosuppression,33633889 - 23838218 - 30180989 - 28540264 ,,,,,
Operator experience,29516966 ,,,,,
Antibiotic therapy,32028425 - 31565960 ,,,,,
Power-injectable piccs,23838218 ,,,,,
Seasonality (summer / warm),28540264 ,,26045668 ,,25987475 ,
Catheter care delay,,,26045668 ,,,
Chemotherapy,37370862 ,,27020965 ,,,
Auto/allograft,26202391 ,,,,,
Anticoagulants therapy,26202391 ,,,,,
