PMID,FACTOR,RISK,TEXT
34600737,Gender,No,". adjusted means los were higher for patients with picc lines compared to midlines, in both females and males.."
34218708,Chemotherapy,Yes,"more than 1 million peripherally inserted central catheters (picc) are placed annually in the us and are used to provide convenient vascular access for a variety of reasons including long term antibiotic treatment, chemotherapy, parenteral nutrition, and blood draws.. ."
34218708,Total parenteral nutrition,Yes,"more than 1 million peripherally inserted central catheters (picc) are placed annually in the us and are used to provide convenient vascular access for a variety of reasons including long term antibiotic treatment, chemotherapy, parenteral nutrition, and blood draws.."
34218708,PICC infection,No,"although they are relatively easy to place and inexpensive, picc line use is associated with many complications such as phlebitis/thrombophlebitis, venous thrombosis, catheter-related infection, wound infection, and central vein stenosis.."
37314592,Chemotherapy,Yes,"purpose: there is a lack of studies that systematically evaluate the clinical factors of picc-rvt such as treatment, tumor stage, metastasis, and chemotherapy drugs in cancer patients. meta-analysis of these studies indicated that a history of chemotherapy, tumor type, tumor stage, presence or absence of metastasis, and use of fluorouracil, etoposide, platinum drugs, and taxane were all risk factors for picc catheter thrombosis in cancer patients.. . meta-analysis of these studies indicated that a history of chemotherapy, tumor type, tumor stage, presence or absence of metastasis, and use of fluorouracil, etoposide, platinum drugs, and taxane were all risk factors for picc catheter thrombosis in cancer patients.."
37314592,Cancer,No,"clinical factors of picc-rvt in cancer patients: a meta-analysis. purpose: there is a lack of studies that systematically evaluate the clinical factors of picc-rvt such as treatment, tumor stage, metastasis, and chemotherapy drugs in cancer patients. this study, therefore, aims to evaluate the clinical factors of catheter-related venous thrombosis in cancer patients with indwelling picc to provide a basis for the clinical prevention and reduction of thrombosis. meta-analysis of these studies indicated that a history of chemotherapy, tumor type, tumor stage, presence or absence of metastasis, and use of fluorouracil, etoposide, platinum drugs, and taxane were all risk factors for picc catheter thrombosis in cancer patients.. . purpose: there is a lack of studies that systematically evaluate the clinical factors of picc-rvt such as treatment, tumor stage, metastasis, and chemotherapy drugs in cancer patients. meta-analysis of these studies indicated that a history of chemotherapy, tumor type, tumor stage, presence or absence of metastasis, and use of fluorouracil, etoposide, platinum drugs, and taxane were all risk factors for picc catheter thrombosis in cancer patients.."
24811591,ICU,No,". however, piccs are associated with a number of complications, particularly upper extremity venous thrombosis (uevt), leading to post-thrombotic syndrome, pulmonary embolism and increased risk of catheter-related infection. there is lack of high-quality evidence assessing prevention strategies and management of picc-related thrombosis in the icu.."
24811591,PICC infection,Yes,"however, piccs are associated with a number of complications, particularly upper extremity venous thrombosis (uevt), leading to post-thrombotic syndrome, pulmonary embolism and increased risk of catheter-related infection.."
30697126,Chemotherapy,Yes,"we concluded that high bmi,high plts count and fluropyrimidine containing chemotherapy are all significant risk factors for vte events recorded while smoking and high bmi are significantly contributing to the high rate of the picc line related dvt.. ."
30697126,Cancer,No,predictive risk factors of venous thromboembolism (vte) associated with peripherally inserted central catheters (picc) in ambulant solid cancer patients: retrospective single centre cohort study.. .
