Factor,retrospective,review,meta-analysis,undefined,prospective,rct
Chemotherapy,34218708 - 30697126 - 26207019 - 26349890 - 24612469 - 29125332 - 30673943 - 28936124 - 32205131 - 24090605 ,25680892 ,37314592 ,,34540095 - 33249623 - 33383236 - 25673995 - 27020965 - 33893843 - 23710585 ,32921123 - 31005243 
Total parenteral nutrition,34218708 - 25997503 ,,,,33298237 ,
PICC infection,27161689 - 38105233 - 31073442 - 23633980 - 35285085 - 24090605 - 34980518 ,24811591 ,36897677 ,27033138 - 26623068 - 30589718 ,31900609 - 24439240 - 31970514 - 33019880 - 24436591 ,30704933 - 28978332 - 27240799 
BMI,30697126 - 37573601 - 34511570 - 29872323 - 24911379 - 35701467 ,25680892 ,,,25673995 - 33244268 - 28218366 - 24781722 ,34973357 
Smoking,30697126 - 36747971 - 25664112 - 38105233 ,,,,33249623 ,
PICC insertion procedure,30697126 - 33836784 - 26117624 ,,31464692 ,,24268631 - 27957644 ,
Cancer,24612469 ,,,28796444 ,24268631 ,28619777 
Biology ( blood platelet level_white blood cell level_triglycerides_fibrinogen),25664112 ,,,28796444 ,,32921123 
ICU,37573601 - 24954426 - 28822403 - 32551112 ,,,,,
Age,37573601 - 25953205 - 33388763 - 32205131 ,,,30632436 ,28149507 - 24781722 ,
Hypertension,37573601 ,,,,24983259 ,
Slower blood flow velocity,,,33617142 ,,32195936 ,
Anticoagulants therapy,35071472 ,,,,,
Surgery_type of surgery,34095299 ,,,25726426 ,22948189 ,
Non-O blood type_ group B,32880203 ,,,35875074 ,,
Two or more lumens,24612469 - 23838218 - 30909723 ,,,30632436 - 27033138 ,,
History Of Thrombosis,,,,30632436 ,,
Performans score_performance status_karnofsky_ECOG_Less activity_bedridden > 72h,25664112 ,,,,25673995 ,
Power injectable PICC,23838218 ,,,,,
Immunosuppression,23838218 ,,,,,
PICC indwelling time,27542955 ,,,,,
Gender,28936124 - 32551112 ,,,,26339941 ,
Thrombophilia,,25680892 ,,,,
"Others (COPD, IBD)",33388763 ,,,,,
Number of comorbidities/HTA/Hyperglycemia,29659465 ,,,,,
